Year,Units,Display,Time series,Region,GeoCode,Value
2005,Number,Time series,Employees in thousands,Germany,,961.3
2006,Number,Time series,Employees in thousands,Germany,,926.3
2007,Number,Time series,Employees in thousands,Germany,,860.5
2008,Number,Time series,Employees in thousands,Germany,,840.0
2009,Number,Time series,Employees in thousands,Germany,,802.8
2010,Number,Time series,Employees in thousands,Germany,,780.8
2011,Number,Time series,Employees in thousands,Germany,,764.7
2012,Number,Time series,Employees in thousands,Germany,,772.8
2013,Number,Time series,Employees in thousands,Germany,,787.5
2014,Number,Time series,Employees in thousands,Germany,,785.4
2015,Number,Time series,Employees in thousands,Germany,,800.6
2016,Number,Time series,Employees in thousands,Germany,,842.3
2017,Number,Time series,Employees in thousands,Germany,,985.2
2018,Number,Time series,Employees in thousands,Germany,,929.2
2019,Number,Time series,Employees in thousands,Germany,,988.4
2020,Number,Time series,Employees in thousands,Germany,,859.7
2005,Number,Time series,EMAS organisational locations,Germany,,1958.0
2006,Number,Time series,EMAS organisational locations,Germany,,1985.0
2007,Number,Time series,EMAS organisational locations,Germany,,1956.0
2008,Number,Time series,EMAS organisational locations,Germany,,1917.0
2009,Number,Time series,EMAS organisational locations,Germany,,1906.0
2010,Number,Time series,EMAS organisational locations,Germany,,1913.0
2011,Number,Time series,EMAS organisational locations,Germany,,1909.0
2012,Number,Time series,EMAS organisational locations,Germany,,1828.0
2013,Number,Time series,EMAS organisational locations,Germany,,1862.0
2014,Number,Time series,EMAS organisational locations,Germany,,1906.0
2015,Number,Time series,EMAS organisational locations,Germany,,2004.0
2016,Number,Time series,EMAS organisational locations,Germany,,2073.0
2017,Number,Time series,EMAS organisational locations,Germany,,2182.0
2018,Number,Time series,EMAS organisational locations,Germany,,2167.0
2019,Number,Time series,EMAS organisational locations,Germany,,2176.0
2020,Number,Time series,EMAS organisational locations,Germany,,2184.0
2030,Number,Target,EMAS organisational locations,Germany,,5000.0
2010,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,493.0
2011,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,498.0
2012,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,508.0
2013,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,522.0
2014,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,538.0
2015,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,578.0
2016,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,582.0
2017,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,574.0
2018,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,591.0
2019,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,594.0
2020,Number,Time series,EMAS organisational locations,Baden-Wuerttemberg,code08,597.0
2010,Number,Time series,EMAS organisational locations,Bavaria,code09,385.0
2011,Number,Time series,EMAS organisational locations,Bavaria,code09,391.0
2012,Number,Time series,EMAS organisational locations,Bavaria,code09,388.0
2013,Number,Time series,EMAS organisational locations,Bavaria,code09,391.0
2014,Number,Time series,EMAS organisational locations,Bavaria,code09,421.0
2015,Number,Time series,EMAS organisational locations,Bavaria,code09,466.0
2016,Number,Time series,EMAS organisational locations,Bavaria,code09,475.0
2017,Number,Time series,EMAS organisational locations,Bavaria,code09,524.0
2018,Number,Time series,EMAS organisational locations,Bavaria,code09,502.0
2019,Number,Time series,EMAS organisational locations,Bavaria,code09,478.0
2020,Number,Time series,EMAS organisational locations,Bavaria,code09,502.0
2010,Number,Time series,EMAS organisational locations,Berlin,code11,53.0
2011,Number,Time series,EMAS organisational locations,Berlin,code11,53.0
2012,Number,Time series,EMAS organisational locations,Berlin,code11,48.0
2013,Number,Time series,EMAS organisational locations,Berlin,code11,56.0
2014,Number,Time series,EMAS organisational locations,Berlin,code11,50.0
2015,Number,Time series,EMAS organisational locations,Berlin,code11,52.0
2016,Number,Time series,EMAS organisational locations,Berlin,code11,57.0
2017,Number,Time series,EMAS organisational locations,Berlin,code11,61.0
2018,Number,Time series,EMAS organisational locations,Berlin,code11,63.0
2019,Number,Time series,EMAS organisational locations,Berlin,code11,65.0
2020,Number,Time series,EMAS organisational locations,Berlin,code11,68.0
2010,Number,Time series,EMAS organisational locations,Brandenburg,code12,52.0
2011,Number,Time series,EMAS organisational locations,Brandenburg,code12,47.0
2012,Number,Time series,EMAS organisational locations,Brandenburg,code12,36.0
2013,Number,Time series,EMAS organisational locations,Brandenburg,code12,40.0
2014,Number,Time series,EMAS organisational locations,Brandenburg,code12,39.0
2015,Number,Time series,EMAS organisational locations,Brandenburg,code12,39.0
2016,Number,Time series,EMAS organisational locations,Brandenburg,code12,47.0
2017,Number,Time series,EMAS organisational locations,Brandenburg,code12,60.0
2018,Number,Time series,EMAS organisational locations,Brandenburg,code12,61.0
2019,Number,Time series,EMAS organisational locations,Brandenburg,code12,64.0
2020,Number,Time series,EMAS organisational locations,Brandenburg,code12,64.0
2010,Number,Time series,EMAS organisational locations,Bremen,code04,26.0
2011,Number,Time series,EMAS organisational locations,Bremen,code04,26.0
2012,Number,Time series,EMAS organisational locations,Bremen,code04,28.0
2013,Number,Time series,EMAS organisational locations,Bremen,code04,29.0
2014,Number,Time series,EMAS organisational locations,Bremen,code04,28.0
2015,Number,Time series,EMAS organisational locations,Bremen,code04,30.0
2016,Number,Time series,EMAS organisational locations,Bremen,code04,29.0
2017,Number,Time series,EMAS organisational locations,Bremen,code04,30.0
2018,Number,Time series,EMAS organisational locations,Bremen,code04,31.0
2019,Number,Time series,EMAS organisational locations,Bremen,code04,31.0
2020,Number,Time series,EMAS organisational locations,Bremen,code04,30.0
2010,Number,Time series,EMAS organisational locations,Hamburg,code02,37.0
2011,Number,Time series,EMAS organisational locations,Hamburg,code02,36.0
2012,Number,Time series,EMAS organisational locations,Hamburg,code02,33.0
2013,Number,Time series,EMAS organisational locations,Hamburg,code02,34.0
2014,Number,Time series,EMAS organisational locations,Hamburg,code02,38.0
2015,Number,Time series,EMAS organisational locations,Hamburg,code02,37.0
2016,Number,Time series,EMAS organisational locations,Hamburg,code02,37.0
2017,Number,Time series,EMAS organisational locations,Hamburg,code02,51.0
2018,Number,Time series,EMAS organisational locations,Hamburg,code02,58.0
2019,Number,Time series,EMAS organisational locations,Hamburg,code02,58.0
2020,Number,Time series,EMAS organisational locations,Hamburg,code02,59.0
2010,Number,Time series,EMAS organisational locations,Hesse,code06,138.0
2011,Number,Time series,EMAS organisational locations,Hesse,code06,139.0
2012,Number,Time series,EMAS organisational locations,Hesse,code06,140.0
2013,Number,Time series,EMAS organisational locations,Hesse,code06,132.0
2014,Number,Time series,EMAS organisational locations,Hesse,code06,134.0
2015,Number,Time series,EMAS organisational locations,Hesse,code06,144.0
2016,Number,Time series,EMAS organisational locations,Hesse,code06,159.0
2017,Number,Time series,EMAS organisational locations,Hesse,code06,159.0
2018,Number,Time series,EMAS organisational locations,Hesse,code06,142.0
2019,Number,Time series,EMAS organisational locations,Hesse,code06,126.0
2020,Number,Time series,EMAS organisational locations,Hesse,code06,132.0
2010,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,10.0
2011,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,10.0
2012,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,10.0
2013,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,10.0
2014,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,10.0
2015,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,7.0
2016,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,8.0
2017,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,8.0
2018,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,6.0
2019,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,3.0
2020,Number,Time series,EMAS organisational locations,Mecklenburg Western Pomerania,code13,3.0
2010,Number,Time series,EMAS organisational locations,Lower Saxony,code03,91.0
2011,Number,Time series,EMAS organisational locations,Lower Saxony,code03,95.0
2012,Number,Time series,EMAS organisational locations,Lower Saxony,code03,82.0
2013,Number,Time series,EMAS organisational locations,Lower Saxony,code03,82.0
2014,Number,Time series,EMAS organisational locations,Lower Saxony,code03,84.0
2015,Number,Time series,EMAS organisational locations,Lower Saxony,code03,85.0
2016,Number,Time series,EMAS organisational locations,Lower Saxony,code03,80.0
2017,Number,Time series,EMAS organisational locations,Lower Saxony,code03,93.0
2018,Number,Time series,EMAS organisational locations,Lower Saxony,code03,88.0
2019,Number,Time series,EMAS organisational locations,Lower Saxony,code03,87.0
2020,Number,Time series,EMAS organisational locations,Lower Saxony,code03,85.0
2010,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,262.0
2011,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,263.0
2012,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,232.0
2013,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,231.0
2014,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,222.0
2015,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,229.0
2016,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,236.0
2017,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,232.0
2018,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,229.0
2019,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,236.0
2020,Number,Time series,EMAS organisational locations,North Rhine-Westphalia,code05,232.0
2010,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,53.0
2011,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,48.0
2012,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,49.0
2013,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,53.0
2014,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,51.0
2015,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,45.0
2016,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,51.0
2017,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,53.0
2018,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,54.0
2019,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,66.0
2020,Number,Time series,EMAS organisational locations,Rhineland Palatinate,code07,50.0
2010,Number,Time series,EMAS organisational locations,Saarland,code10,60.0
2011,Number,Time series,EMAS organisational locations,Saarland,code10,55.0
2012,Number,Time series,EMAS organisational locations,Saarland,code10,55.0
2013,Number,Time series,EMAS organisational locations,Saarland,code10,57.0
2014,Number,Time series,EMAS organisational locations,Saarland,code10,63.0
2015,Number,Time series,EMAS organisational locations,Saarland,code10,61.0
2016,Number,Time series,EMAS organisational locations,Saarland,code10,62.0
2017,Number,Time series,EMAS organisational locations,Saarland,code10,64.0
2018,Number,Time series,EMAS organisational locations,Saarland,code10,59.0
2019,Number,Time series,EMAS organisational locations,Saarland,code10,59.0
2020,Number,Time series,EMAS organisational locations,Saarland,code10,60.0
2010,Number,Time series,EMAS organisational locations,Saxony,code14,63.0
2011,Number,Time series,EMAS organisational locations,Saxony,code14,62.0
2012,Number,Time series,EMAS organisational locations,Saxony,code14,66.0
2013,Number,Time series,EMAS organisational locations,Saxony,code14,63.0
2014,Number,Time series,EMAS organisational locations,Saxony,code14,65.0
2015,Number,Time series,EMAS organisational locations,Saxony,code14,64.0
2016,Number,Time series,EMAS organisational locations,Saxony,code14,74.0
2017,Number,Time series,EMAS organisational locations,Saxony,code14,89.0
2018,Number,Time series,EMAS organisational locations,Saxony,code14,112.0
2019,Number,Time series,EMAS organisational locations,Saxony,code14,113.0
2020,Number,Time series,EMAS organisational locations,Saxony,code14,106.0
2010,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,53.0
2011,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,50.0
2012,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,40.0
2013,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,41.0
2014,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,39.0
2015,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,39.0
2016,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,44.0
2017,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,44.0
2018,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,45.0
2019,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,66.0
2020,Number,Time series,EMAS organisational locations,Saxony-Anhalt,code15,65.0
2010,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,59.0
2011,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,59.0
2012,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,45.0
2013,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,43.0
2014,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,41.0
2015,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,32.0
2016,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,33.0
2017,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,45.0
2018,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,39.0
2019,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,37.0
2020,Number,Time series,EMAS organisational locations,Schleswig-Holstein,code01,40.0
2010,Number,Time series,EMAS organisational locations,Thuringia,code16,78.0
2011,Number,Time series,EMAS organisational locations,Thuringia,code16,71.0
2012,Number,Time series,EMAS organisational locations,Thuringia,code16,62.0
2013,Number,Time series,EMAS organisational locations,Thuringia,code16,72.0
2014,Number,Time series,EMAS organisational locations,Thuringia,code16,77.0
2015,Number,Time series,EMAS organisational locations,Thuringia,code16,90.0
2016,Number,Time series,EMAS organisational locations,Thuringia,code16,93.0
2017,Number,Time series,EMAS organisational locations,Thuringia,code16,89.0
2018,Number,Time series,EMAS organisational locations,Thuringia,code16,81.0
2019,Number,Time series,EMAS organisational locations,Thuringia,code16,87.0
2020,Number,Time series,EMAS organisational locations,Thuringia,code16,85.0
2005,Number,Time series,EMAS organisations,Germany,,1491.0
2006,Number,Time series,EMAS organisations,Germany,,1490.0
2007,Number,Time series,EMAS organisations,Germany,,1466.0
2008,Number,Time series,EMAS organisations,Germany,,1408.0
2009,Number,Time series,EMAS organisations,Germany,,1354.0
2010,Number,Time series,EMAS organisations,Germany,,1332.0
2011,Number,Time series,EMAS organisations,Germany,,1269.0
2012,Number,Time series,EMAS organisations,Germany,,1212.0
2013,Number,Time series,EMAS organisations,Germany,,1228.0
2014,Number,Time series,EMAS organisations,Germany,,1223.0
2015,Number,Time series,EMAS organisations,Germany,,1216.0
2016,Number,Time series,EMAS organisations,Germany,,1225.0
2017,Number,Time series,EMAS organisations,Germany,,1240.0
2018,Number,Time series,EMAS organisations,Germany,,1183.0
2019,Number,Time series,EMAS organisations,Germany,,1150.0
2020,Number,Time series,EMAS organisations,Germany,,1113.0
2005,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,313.0
2006,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,358.0
2007,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,353.0
2008,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,363.0
2009,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,366.0
2010,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,403.0
2011,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,408.0
2012,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,410.0
2013,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,420.0
2014,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,415.0
2015,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,422.0
2016,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,408.0
2017,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,396.0
2018,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,371.0
2019,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,347.0
2020,Number,Time series,EMAS organisations,Baden-Wuerttemberg,code08,339.0
2005,Number,Time series,EMAS organisations,Bavaria,code09,320.0
2006,Number,Time series,EMAS organisations,Bavaria,code09,302.0
2007,Number,Time series,EMAS organisations,Bavaria,code09,298.0
2008,Number,Time series,EMAS organisations,Bavaria,code09,287.0
2009,Number,Time series,EMAS organisations,Bavaria,code09,282.0
2010,Number,Time series,EMAS organisations,Bavaria,code09,275.0
2011,Number,Time series,EMAS organisations,Bavaria,code09,250.0
2012,Number,Time series,EMAS organisations,Bavaria,code09,247.0
2013,Number,Time series,EMAS organisations,Bavaria,code09,244.0
2014,Number,Time series,EMAS organisations,Bavaria,code09,257.0
2015,Number,Time series,EMAS organisations,Bavaria,code09,269.0
2016,Number,Time series,EMAS organisations,Bavaria,code09,274.0
2017,Number,Time series,EMAS organisations,Bavaria,code09,288.0
2018,Number,Time series,EMAS organisations,Bavaria,code09,283.0
2019,Number,Time series,EMAS organisations,Bavaria,code09,288.0
2020,Number,Time series,EMAS organisations,Bavaria,code09,287.0
2005,Number,Time series,EMAS organisations,Berlin,code11,56.0
2006,Number,Time series,EMAS organisations,Berlin,code11,55.0
2007,Number,Time series,EMAS organisations,Berlin,code11,57.0
2008,Number,Time series,EMAS organisations,Berlin,code11,51.0
2009,Number,Time series,EMAS organisations,Berlin,code11,43.0
2010,Number,Time series,EMAS organisations,Berlin,code11,39.0
2011,Number,Time series,EMAS organisations,Berlin,code11,39.0
2012,Number,Time series,EMAS organisations,Berlin,code11,34.0
2013,Number,Time series,EMAS organisations,Berlin,code11,41.0
2014,Number,Time series,EMAS organisations,Berlin,code11,35.0
