Year,Units,Anzeigen,Zeitreihe,Value
1970,2030 = 100,Zeitreihe,f) Index insgesamt,106.9
1975,2030 = 100,Zeitreihe,f) Index insgesamt,101.4
1990,2030 = 100,Zeitreihe,f) Index insgesamt,76.6
1991,2030 = 100,Zeitreihe,f) Index insgesamt,72.3
1992,2030 = 100,Zeitreihe,f) Index insgesamt,71.3
1993,2030 = 100,Zeitreihe,f) Index insgesamt,73.1
1994,2030 = 100,Zeitreihe,f) Index insgesamt,76.6
1995,2030 = 100,Zeitreihe,f) Index insgesamt,73.1
1996,2030 = 100,Zeitreihe,f) Index insgesamt,76.0
1997,2030 = 100,Zeitreihe,f) Index insgesamt,72.8
1998,2030 = 100,Zeitreihe,f) Index insgesamt,70.1
1999,2030 = 100,Zeitreihe,f) Index insgesamt,74.8
2000,2030 = 100,Zeitreihe,f) Index insgesamt,71.9
2001,2030 = 100,Zeitreihe,f) Index insgesamt,71.1
2002,2030 = 100,Zeitreihe,f) Index insgesamt,69.7
2003,2030 = 100,Zeitreihe,f) Index insgesamt,69.8
2004,2030 = 100,Zeitreihe,f) Index insgesamt,72.5
2005,2030 = 100,Zeitreihe,f) Index insgesamt,71.0
2006,2030 = 100,Zeitreihe,f) Index insgesamt,70.2
2007,2030 = 100,Zeitreihe,f) Index insgesamt,70.1
2008,2030 = 100,Zeitreihe,f) Index insgesamt,70.3
2009,2030 = 100,Zeitreihe,f) Index insgesamt,67.2
2010,2030 = 100,Zeitreihe,f) Index insgesamt,68.0
2011,2030 = 100,Zeitreihe,f) Index insgesamt,66.2
2012,2030 = 100,Zeitreihe,f) Index insgesamt,70.4
2013,2030 = 100,Zeitreihe,f) Index insgesamt,67.8
2014,2030 = 100,Zeitreihe,f) Index insgesamt,67.0
2015,2030 = 100,Zeitreihe,f) Index insgesamt,69.8
2016,2030 = 100,Zeitreihe,f) Index insgesamt,70.5
2030,2030 = 100,Ziel,f) Index insgesamt,100.0
1970,2030 = 100,Zeitreihe,a) Teilindex Wälder,77.5
1975,2030 = 100,Zeitreihe,a) Teilindex Wälder,78.5
1990,2030 = 100,Zeitreihe,a) Teilindex Wälder,81.6
1991,2030 = 100,Zeitreihe,a) Teilindex Wälder,77.1
1992,2030 = 100,Zeitreihe,a) Teilindex Wälder,76.8
1993,2030 = 100,Zeitreihe,a) Teilindex Wälder,77.8
1994,2030 = 100,Zeitreihe,a) Teilindex Wälder,80.8
1995,2030 = 100,Zeitreihe,a) Teilindex Wälder,70.7
1996,2030 = 100,Zeitreihe,a) Teilindex Wälder,78.0
1997,2030 = 100,Zeitreihe,a) Teilindex Wälder,76.7
1998,2030 = 100,Zeitreihe,a) Teilindex Wälder,70.6
1999,2030 = 100,Zeitreihe,a) Teilindex Wälder,75.5
2000,2030 = 100,Zeitreihe,a) Teilindex Wälder,73.4
2001,2030 = 100,Zeitreihe,a) Teilindex Wälder,74.8
2002,2030 = 100,Zeitreihe,a) Teilindex Wälder,74.3
2003,2030 = 100,Zeitreihe,a) Teilindex Wälder,78.5
2004,2030 = 100,Zeitreihe,a) Teilindex Wälder,79.2
2005,2030 = 100,Zeitreihe,a) Teilindex Wälder,79.6
2006,2030 = 100,Zeitreihe,a) Teilindex Wälder,78.6
2007,2030 = 100,Zeitreihe,a) Teilindex Wälder,75.3
2008,2030 = 100,Zeitreihe,a) Teilindex Wälder,81.8
2009,2030 = 100,Zeitreihe,a) Teilindex Wälder,73.3
2010,2030 = 100,Zeitreihe,a) Teilindex Wälder,79.5
2011,2030 = 100,Zeitreihe,a) Teilindex Wälder,80.2
2012,2030 = 100,Zeitreihe,a) Teilindex Wälder,87.0
2013,2030 = 100,Zeitreihe,a) Teilindex Wälder,87.1
2014,2030 = 100,Zeitreihe,a) Teilindex Wälder,84.3
2015,2030 = 100,Zeitreihe,a) Teilindex Wälder,90.8
2016,2030 = 100,Zeitreihe,a) Teilindex Wälder,87.5
1970,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,99.7
1975,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,101.6
1990,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,80.8
1991,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,73.7
1992,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,68.4
1993,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,75.1
1994,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,71.9
1995,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,75.2
1996,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,85.3
1997,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,77.4
1998,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,75.5
1999,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,74.9
2000,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,69.8
2001,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,69.6
2002,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,63.4
2003,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,59.2
2004,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,66.5
2005,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,66.5
2006,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,65.1
2007,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,66.0
2008,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,63.2
2009,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,63.8
2010,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,66.5
2011,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,70.5
2012,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,70.7
2013,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,67.5
2014,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,69.6
2015,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,72.2
2016,2030 = 100,Zeitreihe,b) Teilindex Siedlungen,75.5
1970,2030 = 100,Zeitreihe,c) Teilindex Agrarland,128.8
1975,2030 = 100,Zeitreihe,c) Teilindex Agrarland,117.2
1990,2030 = 100,Zeitreihe,c) Teilindex Agrarland,74.2
1991,2030 = 100,Zeitreihe,c) Teilindex Agrarland,71.2
1992,2030 = 100,Zeitreihe,c) Teilindex Agrarland,70.1
1993,2030 = 100,Zeitreihe,c) Teilindex Agrarland,70.9
1994,2030 = 100,Zeitreihe,c) Teilindex Agrarland,75.7
1995,2030 = 100,Zeitreihe,c) Teilindex Agrarland,73.8
1996,2030 = 100,Zeitreihe,c) Teilindex Agrarland,75.2
1997,2030 = 100,Zeitreihe,c) Teilindex Agrarland,71.1
1998,2030 = 100,Zeitreihe,c) Teilindex Agrarland,69.1
1999,2030 = 100,Zeitreihe,c) Teilindex Agrarland,75.2
