Year,Units,Anzeigen,Zeitreihe,Meer,Value
2013,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,42.9
2014,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,42.9
2015,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,14.3
2016,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,14.3
2017,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,14.3
2018,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,14.3
2003,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2004,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2005,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2006,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2007,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2008,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2009,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2010,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2011,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2012,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2013,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2014,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2015,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2016,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2017,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
2018,Prozent,Zeitreihe,MSY-untersuchte an allen bewirtschafteten Beständen,,37.2
