Year,Units,Anzeigen,Zeitreihe,Region,GeoCode,Value
2016,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen,code14,100.5
2017,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen,code14,104.3
2008,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,100.0
2009,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,99.1
2010,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,104.3
2011,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,102.3
2012,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,102.8
2013,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,97.0
2014,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,97.0
2015,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,100.2
2016,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,103.2
2017,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,100.3
2018,2008 = 100,Zeitreihe,Primärenergieverbrauch,Sachsen-Anhalt,code15,103.8
2008,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,100.0
2009,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,97.2
2010,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,102.1
2011,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,97.3
2012,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,96.8
2013,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,100.2
2014,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,96.7
2015,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,93.9
2016,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,95.9
2017,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,88.9
2018,2008 = 100,Zeitreihe,Primärenergieverbrauch,Schleswig-Holstein,code01,93.5
2008,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,100.0
2009,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,96.1
2010,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,100.0
2011,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,95.2
2012,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,96.8
2013,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,98.7
2014,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,92.9
2015,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,93.7
2016,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,96.8
2017,2008 = 100,Zeitreihe,Primärenergieverbrauch,Thüringen,code16,101.6
