Year,Units,Anzeigen,Value
2012,Prozent,Zeitreihe,3.6
2013,Prozent,Zeitreihe,4.4
2014,Prozent,Zeitreihe,5.9
2015,Prozent,Zeitreihe,7.6
2016,Prozent,Zeitreihe,8.6
2017,Prozent,Zeitreihe,8.3
2018,Prozent,Zeitreihe,7.5
2030,Prozent,Ziel,34.0
