Year,Units,Anzeigen,Value
2011,Mrd. EUR,Zeitreihe,1.56
2012,Mrd. EUR,Zeitreihe,1.66
2013,Mrd. EUR,Zeitreihe,1.95
2014,Mrd. EUR,Zeitreihe,2.34
2015,Mrd. EUR,Zeitreihe,2.68
2016,Mrd. EUR,Zeitreihe,3.36
2017,Mrd. EUR,Zeitreihe,3.65
2018,Mrd. EUR,Zeitreihe,3.37
2019,Mrd. EUR,Zeitreihe,4.34
2020,Mrd. EUR,Ziel,4.0
