Year,Units,Anzeigen,Value
2000,Prozent,Zeitreihe,79.0
2001,Prozent,Zeitreihe,77.1
2002,Prozent,Zeitreihe,76.4
2003,Prozent,Zeitreihe,72.3
2004,Prozent,Zeitreihe,74.7
2005,Prozent,Zeitreihe,76.9
2006,Prozent,Zeitreihe,75.4
2007,Prozent,Zeitreihe,74.7
2008,Prozent,Zeitreihe,71.7
2009,Prozent,Zeitreihe,72.4
2010,Prozent,Zeitreihe,73.2
2011,Prozent,Zeitreihe,68.3
2012,Prozent,Zeitreihe,69.5
2013,Prozent,Zeitreihe,70.3
2014,Prozent,Zeitreihe,69.0
2015,Prozent,Zeitreihe,68.0
2030,Prozent,Ziel,50.0
