Year,Units,Zeitreihe,Value
2015,Millionen Euro,a) Pandemieprävention und -reaktion,137.9
2016,Millionen Euro,a) Pandemieprävention und -reaktion,151.4
2017,Millionen Euro,a) Pandemieprävention und -reaktion,220.8
2018,Millionen Euro,a) Pandemieprävention und -reaktion,260.7
2019,Millionen Euro,a) Pandemieprävention und -reaktion,272.5
2020,Millionen Euro,a) Pandemieprävention und -reaktion,353.1
2020,Millionen Euro,b) Eindämmung der COVID-19-Pandemie,635.2
