Year,Units,Anzeigen,Zeitreihe,Value
2005,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,100.0
2006,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,105.3
2007,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,108.6
2008,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,106.9
2009,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,97.1
2010,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,100.9
2011,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,102.4
2012,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,100.5
2013,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,101.4
2014,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,101.7
2015,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,102.8
2016,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,103.9
2017,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,105.3
2018,2005 = 100,Zeitreihe,Endenergieverbrauch durch Güterbeförderung,106.2
2030,2005 = 100,Ziel,Endenergieverbrauch durch Güterbeförderung,85.0
2005,2005 = 100,Zeitreihe,Güterbeförderungsleistung,100.0
2006,2005 = 100,Zeitreihe,Güterbeförderungsleistung,107.5
2007,2005 = 100,Zeitreihe,Güterbeförderungsleistung,112.2
2008,2005 = 100,Zeitreihe,Güterbeförderungsleistung,112.9
2009,2005 = 100,Zeitreihe,Güterbeförderungsleistung,100.5
2010,2005 = 100,Zeitreihe,Güterbeförderungsleistung,108.2
2011,2005 = 100,Zeitreihe,Güterbeförderungsleistung,108.4
2012,2005 = 100,Zeitreihe,Güterbeförderungsleistung,106.8
2013,2005 = 100,Zeitreihe,Güterbeförderungsleistung,109.7
2014,2005 = 100,Zeitreihe,Güterbeförderungsleistung,111.4
2015,2005 = 100,Zeitreihe,Güterbeförderungsleistung,114.5
2016,2005 = 100,Zeitreihe,Güterbeförderungsleistung,117.5
2017,2005 = 100,Zeitreihe,Güterbeförderungsleistung,120.1
2018,2005 = 100,Zeitreihe,Güterbeförderungsleistung,122.0
2005,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,100.0
2006,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,98.0
2007,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,96.8
2008,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,94.7
2009,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,96.6
2010,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,93.3
2011,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,94.4
2012,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,94.1
2013,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,92.4
2014,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,91.3
2015,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,89.8
2016,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,88.4
2017,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,87.6
2018,2005 = 100,Zeitreihe,Energieverbrauch je Tonnenkilometer,87.0
