Year,Units,Zeitreihe,Meer,Value
2003,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,33.333
2004,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,23.333
2005,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,20.0
2006,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,16.667
2007,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,20.0
2008,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,26.667
2009,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,36.667
2010,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,40.0
2011,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,40.0
2012,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,50.0
2013,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,43.333
2014,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,40.0
2015,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,43.333
2016,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,43.333
2017,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,43.333
2018,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,43.333
2019,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,46.667
2020,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,60.0
2003,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2004,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,27.273
2005,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,22.727
2006,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,18.182
2007,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,22.727
2008,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,27.273
2009,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2010,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2011,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2012,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,50.0
2013,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2014,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,36.364
2015,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2016,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2017,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2018,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2019,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2020,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,59.091
2003,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2004,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2005,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2006,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2007,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,12.5
2008,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,25.0
2009,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,25.0
2010,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2011,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2012,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,50.0
2013,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,50.0
2014,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,50.0
2015,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2016,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2017,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2018,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,37.5
2019,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,50.0
2020,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Ostsee,62.5
2003,Prozent,share of msy examined in all managed stocks,,38.462
2004,Prozent,share of msy examined in all managed stocks,,38.462
2005,Prozent,share of msy examined in all managed stocks,,38.462
2006,Prozent,share of msy examined in all managed stocks,,38.462
2007,Prozent,share of msy examined in all managed stocks,,38.462
2008,Prozent,share of msy examined in all managed stocks,,38.462
2009,Prozent,share of msy examined in all managed stocks,,38.462
2010,Prozent,share of msy examined in all managed stocks,,38.462
2011,Prozent,share of msy examined in all managed stocks,,38.462
2012,Prozent,share of msy examined in all managed stocks,,38.462
2013,Prozent,share of msy examined in all managed stocks,,38.462
2014,Prozent,share of msy examined in all managed stocks,,38.462
2015,Prozent,share of msy examined in all managed stocks,,38.462
2016,Prozent,share of msy examined in all managed stocks,,38.462
2017,Prozent,share of msy examined in all managed stocks,,38.462
2018,Prozent,share of msy examined in all managed stocks,,38.462
2019,Prozent,share of msy examined in all managed stocks,,38.462
2020,Prozent,share of msy examined in all managed stocks,,38.462
