Value,Disaggregation combinations using this value,Number of indicators
baden-wuerttemberg,7,1
bavaria,6,1
berlin,6,1
brandenburg,6,1
bremen,6,1
hamburg,6,1
hesse,6,1
lower saxony,6,1
mecklenburg western pomerania,6,1
north rhine-westphalia,6,1
rhineland palatinate,6,1
saarland,6,1
saxony-anhalt,6,1
saxony,6,1
schleswig-holstein,6,1
thuringia,6,1
