Indicator,Disaggregation combinations using this value
#2-1-b,1
#3-1-ab,2
#3-1-cd,1
#3-1-f,3
#4-1-a,3
#4-1-b,3
#4-2-ab,2
#5-1-a,1
#5-1-d,1
#6-1-b,1
#7-1-ab,1
#7-2-a,1
#7-2-b,1
