Value,Disaggregation combinations using this value,Number of indicators
baden-wuerttemberg,185,27
bavaria,341,27
berlin,53,26
brandenburg,107,27
bremen,56,26
hamburg,53,26
hesse,131,27
lower saxony,191,27
mecklenburg western pomerania,76,26
north rhine-westphalia,212,27
rhineland palatinate,161,27
saarland,69,26
saxony-anhalt,95,27
saxony,92,27
schleswig-holstein,98,27
thuringia,122,27
