Indicator,Disaggregation combinations using this value
#10-1-a,4
#11-1-b,3
#11-1-c,1
#11-2-c,1
#12-2-a,2
#13-1-a,1
#16-1-a,1
#17-2-a,5
#3-1-f,3
#4-2-ab,2
#5-1-a,1
#5-1-d,1
#6-1-b,1
#7-2-b,3
#8-3-a,1
#8-4-a,1
#8-5-ab,6
#9-1-a,1
