Value,Disaggregation combinations using this value,Number of indicators
a) germany (total),91,15
bb,48,23
be,45,22
bw,48,23
by,47,22
hb,45,22
he,48,23
hh,45,22
mv,48,23
ni,48,23
nw,48,23
rp,48,23
sh,48,23
sl,45,22
sn,47,22
st,48,23
th,48,23
