Indicator,Disaggregation combinations using this value
#1-1-ab,4
#10-1,19
#11-3,1
#3-1-a,3
#3-1-cd,2
#3-1-e,6
#3-1-f,1
#3-4-ab,1
#4-1-a,1
#4-1-b,6
#4-3-a,1
#5-1-e,1
#8-5-ab,34
