Indicator,Disaggregation combinations using this value
#11-4-a,1
#12-1-a,1
#12-2-a,1
#12-3-ab,1
#13-1-b,1
#14-1-b,1
#15-1-a,1
#16-2-a,1
#17-3-a,1
#9-1-b,1
