Indicator,Disaggregation combinations using this value
#10-1-a,4
#11-1-b,3
#11-1-c,1
#11-2-c,1
#12-2-a,2
#16-1-a,1
#17-2-a,5
#8-3-a,1
#8-4-a,1
#8-5-ab,6
#9-1-a,1
