Indicator,Disaggregation combinations using this value
#10-1-a,4
#2-1-b,1
#3-1-ab,2
#3-1-cd,1
#3-1-f,3
#4-1-a,3
#4-1-b,3
#4-2-ab,2
#5-1-a,1
#5-1-d,1
#6-1-b,1
#7-1-ab,2
#7-2-b,1
#8-2-c,1
#8-3-a,1
#8-4-a,1
#8-5-ab,6
#9-1-a,1
