Value,Disaggregation combinations using this value,Number of indicators
code16055,2,1
code16056,2,1
code16061,2,1
code16062,2,1
code16063,2,1
code16064,2,1
code16065,2,1
code16066,2,1
code16067,2,1
code16068,2,1
code16069,2,1
code16070,2,1
code16071,2,1
code16072,2,1
code16073,2,1
code16074,2,1
code16075,2,1
code16076,2,1
code16077,2,1
