Value,Disaggregation combinations using this value,Number of indicators
germany’s contribution to global pandemic prevention and responsein genaral,1,1
mortality avoidable through prevention,3,1
mortality avoidable through treatment,3,1
separate amount devoted to curbing the covid-19 pandemic,1,1
