Year,Units,Display,Region,GeoCode,Value
2009,1990 = 100,Time series,Baden-Wuerttemberg,code08,85.4
2010,1990 = 100,Time series,Baden-Wuerttemberg,code08,87.3
2011,1990 = 100,Time series,Baden-Wuerttemberg,code08,85.6
2012,1990 = 100,Time series,Baden-Wuerttemberg,code08,84.6
2013,1990 = 100,Time series,Baden-Wuerttemberg,code08,90.4
2014,1990 = 100,Time series,Baden-Wuerttemberg,code08,84.7
2015,1990 = 100,Time series,Baden-Wuerttemberg,code08,86.3
2016,1990 = 100,Time series,Baden-Wuerttemberg,code08,88.5
2017,1990 = 100,Time series,Baden-Wuerttemberg,code08,89.0
1990,1990 = 100,Time series,Berlin,code11,100.0
1995,1990 = 100,Time series,Berlin,code11,90.5
2000,1990 = 100,Time series,Berlin,code11,86.0
2003,1990 = 100,Time series,Berlin,code11,76.6
2004,1990 = 100,Time series,Berlin,code11,72.7
2005,1990 = 100,Time series,Berlin,code11,71.8
2006,1990 = 100,Time series,Berlin,code11,71.2
2007,1990 = 100,Time series,Berlin,code11,62.4
2008,1990 = 100,Time series,Berlin,code11,65.9
2009,1990 = 100,Time series,Berlin,code11,64.1
2010,1990 = 100,Time series,Berlin,code11,70.2
2011,1990 = 100,Time series,Berlin,code11,61.7
2012,1990 = 100,Time series,Berlin,code11,62.0
2013,1990 = 100,Time series,Berlin,code11,64.4
2014,1990 = 100,Time series,Berlin,code11,60.8
2015,1990 = 100,Time series,Berlin,code11,58.4
2016,1990 = 100,Time series,Berlin,code11,59.6
2017,1990 = 100,Time series,Berlin,code11,58.5
1990,1990 = 100,Time series,Brandenburg,code12,100.0
1995,1990 = 100,Time series,Brandenburg,code12,66.8
2000,1990 = 100,Time series,Brandenburg,code12,78.3
2003,1990 = 100,Time series,Brandenburg,code12,74.8
2004,1990 = 100,Time series,Brandenburg,code12,75.8
2005,1990 = 100,Time series,Brandenburg,code12,77.0
2006,1990 = 100,Time series,Brandenburg,code12,74.8
2007,1990 = 100,Time series,Brandenburg,code12,74.3
2008,1990 = 100,Time series,Brandenburg,code12,72.8
2009,1990 = 100,Time series,Brandenburg,code12,68.0
2010,1990 = 100,Time series,Brandenburg,code12,70.7
2011,1990 = 100,Time series,Brandenburg,code12,71.4
2012,1990 = 100,Time series,Brandenburg,code12,72.3
2013,1990 = 100,Time series,Brandenburg,code12,72.0
2014,1990 = 100,Time series,Brandenburg,code12,70.6
2015,1990 = 100,Time series,Brandenburg,code12,70.6
2016,1990 = 100,Time series,Brandenburg,code12,70.9
2017,1990 = 100,Time series,Brandenburg,code12,70.4
1990,1990 = 100,Time series,Bremen,code04,100.0
1995,1990 = 100,Time series,Bremen,code04,98.1
2000,1990 = 100,Time series,Bremen,code04,103.1
2003,1990 = 100,Time series,Bremen,code04,106.1
2004,1990 = 100,Time series,Bremen,code04,94.7
2005,1990 = 100,Time series,Bremen,code04,88.7
2006,1990 = 100,Time series,Bremen,code04,92.2
2007,1990 = 100,Time series,Bremen,code04,99.1
2008,1990 = 100,Time series,Bremen,code04,95.1
2009,1990 = 100,Time series,Bremen,code04,91.6
2010,1990 = 100,Time series,Bremen,code04,101.5
2011,1990 = 100,Time series,Bremen,code04,95.5
2012,1990 = 100,Time series,Bremen,code04,96.5
2013,1990 = 100,Time series,Bremen,code04,96.7
2014,1990 = 100,Time series,Bremen,code04,92.4
2015,1990 = 100,Time series,Bremen,code04,95.9
2016,1990 = 100,Time series,Bremen,code04,93.3
2017,1990 = 100,Time series,Bremen,code04,96.9
1990,1990 = 100,Time series,Hamburg,code02,100.0
