Year,Units,Anzeigen,Value
2010,Prozent,Zeitreihe,14.5
2011,Prozent,Zeitreihe,16.1
2012,Prozent,Zeitreihe,16.6
2013,Prozent,Zeitreihe,16.4
2014,Prozent,Zeitreihe,15.9
2015,Prozent,Zeitreihe,15.6
2016,Prozent,Zeitreihe,15.8
2017,Prozent,Zeitreihe,14.5
2018,Prozent,Zeitreihe,14.2
2019,Prozent,Zeitreihe,13.9
2030,Prozent,Ziel,13.0
