Year,Units,display,Value
2011,Mrd. EUR,a) time series,1.56
2012,Mrd. EUR,a) time series,1.66
2013,Mrd. EUR,a) time series,1.95
2014,Mrd. EUR,a) time series,2.34
2015,Mrd. EUR,a) time series,2.68
2016,Mrd. EUR,a) time series,3.36
2017,Mrd. EUR,a) time series,3.65
2018,Mrd. EUR,a) time series,3.37
2019,Mrd. EUR,a) time series,4.34
2020,Mrd. EUR,b) target (min),4.0
