Year,Units,Anzeigen,Region,GeoCode,Value
2015,1990 = 100,Zeitreihe,Baden-Württemberg,code08,86.3
2016,1990 = 100,Zeitreihe,Baden-Württemberg,code08,88.5
2017,1990 = 100,Zeitreihe,Baden-Württemberg,code08,89.0
1990,1990 = 100,Zeitreihe,Berlin,code11,100.0
1995,1990 = 100,Zeitreihe,Berlin,code11,90.5
2000,1990 = 100,Zeitreihe,Berlin,code11,86.0
2003,1990 = 100,Zeitreihe,Berlin,code11,76.6
2004,1990 = 100,Zeitreihe,Berlin,code11,72.7
2005,1990 = 100,Zeitreihe,Berlin,code11,71.8
2006,1990 = 100,Zeitreihe,Berlin,code11,71.2
2007,1990 = 100,Zeitreihe,Berlin,code11,62.4
2008,1990 = 100,Zeitreihe,Berlin,code11,65.9
2009,1990 = 100,Zeitreihe,Berlin,code11,64.1
2010,1990 = 100,Zeitreihe,Berlin,code11,70.2
2011,1990 = 100,Zeitreihe,Berlin,code11,61.7
2012,1990 = 100,Zeitreihe,Berlin,code11,62.0
2013,1990 = 100,Zeitreihe,Berlin,code11,64.4
2014,1990 = 100,Zeitreihe,Berlin,code11,60.8
2015,1990 = 100,Zeitreihe,Berlin,code11,58.4
2016,1990 = 100,Zeitreihe,Berlin,code11,59.6
2017,1990 = 100,Zeitreihe,Berlin,code11,58.5
1990,1990 = 100,Zeitreihe,Brandenburg,code12,100.0
1995,1990 = 100,Zeitreihe,Brandenburg,code12,66.8
2000,1990 = 100,Zeitreihe,Brandenburg,code12,78.3
2003,1990 = 100,Zeitreihe,Brandenburg,code12,74.8
2004,1990 = 100,Zeitreihe,Brandenburg,code12,75.8
2005,1990 = 100,Zeitreihe,Brandenburg,code12,77.0
2006,1990 = 100,Zeitreihe,Brandenburg,code12,74.8
2007,1990 = 100,Zeitreihe,Brandenburg,code12,74.3
2008,1990 = 100,Zeitreihe,Brandenburg,code12,72.8
2009,1990 = 100,Zeitreihe,Brandenburg,code12,68.0
2010,1990 = 100,Zeitreihe,Brandenburg,code12,70.7
2011,1990 = 100,Zeitreihe,Brandenburg,code12,71.4
2012,1990 = 100,Zeitreihe,Brandenburg,code12,72.3
2013,1990 = 100,Zeitreihe,Brandenburg,code12,72.0
2014,1990 = 100,Zeitreihe,Brandenburg,code12,70.6
2015,1990 = 100,Zeitreihe,Brandenburg,code12,70.6
2016,1990 = 100,Zeitreihe,Brandenburg,code12,70.9
2017,1990 = 100,Zeitreihe,Brandenburg,code12,70.4
1990,1990 = 100,Zeitreihe,Bremen,code04,100.0
1995,1990 = 100,Zeitreihe,Bremen,code04,98.1
2000,1990 = 100,Zeitreihe,Bremen,code04,103.1
2003,1990 = 100,Zeitreihe,Bremen,code04,106.1
2004,1990 = 100,Zeitreihe,Bremen,code04,94.7
2005,1990 = 100,Zeitreihe,Bremen,code04,88.7
2006,1990 = 100,Zeitreihe,Bremen,code04,92.2
2007,1990 = 100,Zeitreihe,Bremen,code04,99.1
2008,1990 = 100,Zeitreihe,Bremen,code04,95.1
2009,1990 = 100,Zeitreihe,Bremen,code04,91.6
2010,1990 = 100,Zeitreihe,Bremen,code04,101.5
2011,1990 = 100,Zeitreihe,Bremen,code04,95.5
2012,1990 = 100,Zeitreihe,Bremen,code04,96.5
2013,1990 = 100,Zeitreihe,Bremen,code04,96.7
2014,1990 = 100,Zeitreihe,Bremen,code04,92.4
2015,1990 = 100,Zeitreihe,Bremen,code04,95.9
2016,1990 = 100,Zeitreihe,Bremen,code04,93.3
2017,1990 = 100,Zeitreihe,Bremen,code04,96.9
1990,1990 = 100,Zeitreihe,Hamburg,code02,100.0
1995,1990 = 100,Zeitreihe,Hamburg,code02,103.7
2003,1990 = 100,Zeitreihe,Hamburg,code02,96.7
2004,1990 = 100,Zeitreihe,Hamburg,code02,96.5
2005,1990 = 100,Zeitreihe,Hamburg,code02,92.9
2006,1990 = 100,Zeitreihe,Hamburg,code02,91.5
2007,1990 = 100,Zeitreihe,Hamburg,code02,88.8
2008,1990 = 100,Zeitreihe,Hamburg,code02,89.6
2009,1990 = 100,Zeitreihe,Hamburg,code02,90.4
2010,1990 = 100,Zeitreihe,Hamburg,code02,93.5
2011,1990 = 100,Zeitreihe,Hamburg,code02,88.2
2012,1990 = 100,Zeitreihe,Hamburg,code02,87.4
2013,1990 = 100,Zeitreihe,Hamburg,code02,85.4
2014,1990 = 100,Zeitreihe,Hamburg,code02,93.2
2015,1990 = 100,Zeitreihe,Hamburg,code02,118.5
2016,1990 = 100,Zeitreihe,Hamburg,code02,121.3
2017,1990 = 100,Zeitreihe,Hamburg,code02,123.7
1990,1990 = 100,Zeitreihe,Hessen,code06,100.0
1995,1990 = 100,Zeitreihe,Hessen,code06,107.0
2000,1990 = 100,Zeitreihe,Hessen,code06,99.8
2003,1990 = 100,Zeitreihe,Hessen,code06,97.0
2004,1990 = 100,Zeitreihe,Hessen,code06,95.1
2005,1990 = 100,Zeitreihe,Hessen,code06,92.8
2006,1990 = 100,Zeitreihe,Hessen,code06,90.9
2007,1990 = 100,Zeitreihe,Hessen,code06,85.5
2008,1990 = 100,Zeitreihe,Hessen,code06,86.5
2009,1990 = 100,Zeitreihe,Hessen,code06,83.0
2010,1990 = 100,Zeitreihe,Hessen,code06,84.5
2011,1990 = 100,Zeitreihe,Hessen,code06,80.9
2012,1990 = 100,Zeitreihe,Hessen,code06,81.2
2013,1990 = 100,Zeitreihe,Hessen,code06,80.6
2014,1990 = 100,Zeitreihe,Hessen,code06,75.6
2015,1990 = 100,Zeitreihe,Hessen,code06,78.9
2016,1990 = 100,Zeitreihe,Hessen,code06,81.5
2017,1990 = 100,Zeitreihe,Hessen,code06,79.5
1990,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,100.0
1995,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,75.4
2000,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,75.4
2003,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,73.6
2004,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,75.7
2005,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,72.3
2006,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,75.0
2007,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,68.5
2008,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,73.3
2009,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,65.0
2010,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,70.5
2011,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,67.9
2012,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,69.8
2013,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,68.7
2014,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,70.1
2015,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,67.2
2016,1990 = 100,Zeitreihe,Mecklenburg-Vorpommern,code13,69.9
1990,1990 = 100,Zeitreihe,Niedersachsen,code03,100.0
2000,1990 = 100,Zeitreihe,Niedersachsen,code03,95.6
2004,1990 = 100,Zeitreihe,Niedersachsen,code03,90.6
2006,1990 = 100,Zeitreihe,Niedersachsen,code03,90.6
2008,1990 = 100,Zeitreihe,Niedersachsen,code03,89.5
2009,1990 = 100,Zeitreihe,Niedersachsen,code03,85.9
2010,1990 = 100,Zeitreihe,Niedersachsen,code03,87.6
2011,1990 = 100,Zeitreihe,Niedersachsen,code03,86.7
2012,1990 = 100,Zeitreihe,Niedersachsen,code03,84.3
2013,1990 = 100,Zeitreihe,Niedersachsen,code03,85.4
2014,1990 = 100,Zeitreihe,Niedersachsen,code03,86.7
2015,1990 = 100,Zeitreihe,Niedersachsen,code03,86.5
2016,1990 = 100,Zeitreihe,Niedersachsen,code03,85.7
2017,1990 = 100,Zeitreihe,Niedersachsen,code03,84.4
1990,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,100.0
1995,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,101.3
2000,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,95.2
2003,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,94.7
2004,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,92.6
2005,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,89.4
2006,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,90.0
2007,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,90.7
2008,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,89.9
2009,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,81.7
2010,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,83.8
2011,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,80.8
2012,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,82.5
2013,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,82.1
2014,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,79.3
2015,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,79.1
2016,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,79.2
2017,1990 = 100,Zeitreihe,Nordrhein-Westfalen,code05,74.6
1990,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,100.0
1995,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,110.1
2000,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,74.2
2003,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,69.8
2004,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,69.9
2005,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,68.4
2006,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,69.3
2007,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,69.6
2008,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,72.1
2009,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,70.2
2010,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,66.7
2011,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,62.2
2012,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,62.3
2013,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,64.8
2014,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,60.8
2015,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,61.6
2016,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,62.3
2017,1990 = 100,Zeitreihe,Rheinland-Pfalz,code07,62.7
1990,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,100.0
1995,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,56.2
2000,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,58.6
2003,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,63.7
2004,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,63.0
2005,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,63.0
2006,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,62.8
2007,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,61.3
2008,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,63.1
2009,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,65.3
2010,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,63.7
2011,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,63.7
2012,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,64.1
2013,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,63.2
2014,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,59.9
2015,1990 = 100,Zeitreihe,Sachsen-Anhalt,code15,58.6
1990,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,100.0
1995,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,95.6
2000,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,90.1
2003,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,89.2
2004,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,85.6
2005,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,83.4
2006,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,83.7
2007,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,76.0
2008,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,82.0
2009,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,79.7
2010,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,80.9
2011,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,76.8
2012,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,78.2
2013,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,78.6
2014,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,75.6
2015,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,75.2
2016,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,74.9
2017,1990 = 100,Zeitreihe,Schleswig-Holstein,code01,75.3
1990,1990 = 100,Zeitreihe,Thüringen,code16,100.0
1995,1990 = 100,Zeitreihe,Thüringen,code16,53.7
2000,1990 = 100,Zeitreihe,Thüringen,code16,49.0
2003,1990 = 100,Zeitreihe,Thüringen,code16,47.4
2004,1990 = 100,Zeitreihe,Thüringen,code16,46.7
2005,1990 = 100,Zeitreihe,Thüringen,code16,45.3
2006,1990 = 100,Zeitreihe,Thüringen,code16,44.4
2007,1990 = 100,Zeitreihe,Thüringen,code16,41.4
2008,1990 = 100,Zeitreihe,Thüringen,code16,42.7
2009,1990 = 100,Zeitreihe,Thüringen,code16,41.1
2010,1990 = 100,Zeitreihe,Thüringen,code16,41.6
2011,1990 = 100,Zeitreihe,Thüringen,code16,39.4
2012,1990 = 100,Zeitreihe,Thüringen,code16,40.1
2013,1990 = 100,Zeitreihe,Thüringen,code16,40.6
2014,1990 = 100,Zeitreihe,Thüringen,code16,38.7
2015,1990 = 100,Zeitreihe,Thüringen,code16,38.7
2016,1990 = 100,Zeitreihe,Thüringen,code16,39.6
2017,1990 = 100,Zeitreihe,Thüringen,code16,40.0
