Year,Value,Units
1/2014,7.9,Millionen
2/2014,11.2,Millionen
1/2015,15.1,Millionen
2/2015,18.2,Millionen
1/2016,19.7,Millionen
2/2016,20.4,Millionen
1/2017,22.5,Millionen
2/2017,23.7,Millionen
1/2018,24.2,Millionen
2/2018,24.2,Millionen
1/2019,26.4,Millionen
2/2019,32.1,Millionen
1/2020,33.0,Millionen
2/2020,35.6,Millionen
1/2021,37.6,Millionen
2/2021,40.2,Millionen
1/2022,42.3,Millionen
