Year,Value,Units,Series,GeoCode
1999,126.276,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,129.157,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,128.368,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,123.041,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,115.103,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,115.116,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,114.225,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,113.335,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,112.787,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,103.77,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,93.907,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,86.647,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,80.875,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,74.442,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,72.569,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,69.209,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,66.056,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,61.539,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,57.692,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,56.373,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,52.37,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,54.051,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,22.717,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,22.724,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,23.313,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,23.104,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,22.346,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,22.583,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,23.134,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,23.545,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,24.572,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,23.798,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,22.017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,21.127,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,19.268,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,16.61,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,16.719,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,17.441,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,15.646,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,8.109,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,86.037,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,85.968,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,82.582,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,77.331,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,66.869,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,60.164,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,51.353,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,42.312,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,41.01,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,34.726,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,33.058,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,33.949,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,31.42,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,32.678,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,32.943,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,30.132,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,32.637,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,34.209,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
