Year,Value,Units,Series
2009,3.0,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2010,20.0,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2011,12.0,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2012,24.9,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2013,36.3,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2014,31.0,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2015,15.7,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2016,59.8,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2017,68.0,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2018,63.0,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2019,63.5,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2020,24.2,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2021,4.0,Millionen EUR,preservation or restoration of forests in developing countries under the redd+ rulebook
2009,40.0,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2010,152.5,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2011,198.6,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2012,245.3,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2013,248.7,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2014,239.7,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2015,271.9,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2016,347.4,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2017,483.4,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2018,571.8,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2019,745.6,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2020,703.5,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2021,974.8,Millionen EUR,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
