Year,Units,degree of urbanisation,federal state,GeoCode,Value
2015,m² per inhabitant and year,,,,-4.5
2016,m² per inhabitant and year,,,,-4.2
2017,m² per inhabitant and year,,,,-4.0
2018,m² per inhabitant and year,,,,-3.9
2019,m² per inhabitant and year,,,,-3.7
2020,m² per inhabitant and year,,,,-4.0
2004,m² per inhabitant and year,,,,-0.3
2005,m² per inhabitant and year,,,,-0.3
2006,m² per inhabitant and year,,,,-0.2
2007,m² per inhabitant and year,,,,-0.3
2008,m² per inhabitant and year,,,,-0.3
2009,m² per inhabitant and year,,,,-0.4
2010,m² per inhabitant and year,,,,-0.4
2011,m² per inhabitant and year,,,,-0.3
2012,m² per inhabitant and year,,,,-0.1
2013,m² per inhabitant and year,,,,0.0
2014,m² per inhabitant and year,,,,0.1
2015,m² per inhabitant and year,,,,0.1
2016,m² per inhabitant and year,,,,-0.2
2017,m² per inhabitant and year,,,,-0.2
2018,m² per inhabitant and year,,,,-0.2
2019,m² per inhabitant and year,,,,-0.2
2020,m² per inhabitant and year,,,,-0.1
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,
2010,m² per inhabitant and year,,,,
2011,m² per inhabitant and year,,,,
2012,m² per inhabitant and year,,,,
2013,m² per inhabitant and year,,,,
2014,m² per inhabitant and year,,,,
2015,m² per inhabitant and year,,,,
2016,m² per inhabitant and year,,,,
2017,m² per inhabitant and year,,,,
2018,m² per inhabitant and year,,,,
2019,m² per inhabitant and year,,,,
2020,m² per inhabitant and year,,,,
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,
2010,m² per inhabitant and year,,,,
2011,m² per inhabitant and year,,,,
2012,m² per inhabitant and year,,,,
2013,m² per inhabitant and year,,,,
2014,m² per inhabitant and year,,,,
2015,m² per inhabitant and year,,,,
2016,m² per inhabitant and year,,,,
2017,m² per inhabitant and year,,,,
2018,m² per inhabitant and year,,,,
2019,m² per inhabitant and year,,,,
2020,m² per inhabitant and year,,,,
2004,m² per inhabitant and year,,,,-11.6
2005,m² per inhabitant and year,,,,-12.3
2006,m² per inhabitant and year,,,,-12.4
2007,m² per inhabitant and year,,,,-11.9
2008,m² per inhabitant and year,,,,-13.6
2009,m² per inhabitant and year,,,,-12.2
2010,m² per inhabitant and year,,,,-10.8
