Year,Units,Federal state,GeoCode,Value
2006,1.000 EUR,Thuringia,code16,22.361
2007,1.000 EUR,Thuringia,code16,23.122
2008,1.000 EUR,Thuringia,code16,23.288
2009,1.000 EUR,Thuringia,code16,22.281
2010,1.000 EUR,Thuringia,code16,23.596
2011,1.000 EUR,Thuringia,code16,24.848
2012,1.000 EUR,Thuringia,code16,24.979
2013,1.000 EUR,Thuringia,code16,25.416
2014,1.000 EUR,Thuringia,code16,26.421
2015,1.000 EUR,Thuringia,code16,26.563
2016,1.000 EUR,Thuringia,code16,26.873
2017,1.000 EUR,Thuringia,code16,27.545
2018,1.000 EUR,Thuringia,code16,27.572
2019,1.000 EUR,Thuringia,code16,27.68
2020,1.000 EUR,Thuringia,code16,26.984
2021,1.000 EUR,Thuringia,code16,27.715
2022,1.000 EUR,Thuringia,code16,28.133
2023,1.000 EUR,Thuringia,code16,28.015
