Year,Units,Time series,Value
2015,Millions of euros,Pandemic prevention and reaction,137.9
2016,Millions of euros,Pandemic prevention and reaction,151.4
2017,Millions of euros,Pandemic prevention and reaction,220.8
2018,Millions of euros,Pandemic prevention and reaction,260.7
2019,Millions of euros,Pandemic prevention and reaction,272.5
2020,Millions of euros,Pandemic prevention and reaction,353.1
2020,Millions of euros,containment of the covid-19 pandemic,635.2
