Year,Units,Value
2000,Percentage,28.83
2001,Percentage,29.55
2002,Percentage,27.11
2003,Percentage,31.42
2004,Percentage,32.3
2005,Percentage,30.8
2006,Percentage,34.3
2007,Percentage,31.45
2008,Percentage,33.19
2009,Percentage,33.6
2010,Percentage,32.14
2011,Percentage,38.19
2012,Percentage,35.66
2013,Percentage,36.14
2014,Percentage,34.82
2015,Percentage,30.65
2016,Percentage,37.05
2017,Percentage,35.51
2018,Percentage,44.28
2019,Percentage,42.8
2020,Percentage,41.7
