Year,Units,Display,Value
2010,Percentage,Time series,14.5
2011,Percentage,Time series,16.1
2012,Percentage,Time series,16.6
2013,Percentage,Time series,16.4
2014,Percentage,Time series,15.9
2015,Percentage,Time series,15.6
2016,Percentage,Time series,15.8
2017,Percentage,Time series,14.5
2018,Percentage,Time series,14.2
2019,Percentage,Time series,13.9
2030,Percentage,Target,13.0
