Year,Value,Units
2000,28.83,Percentage
2001,29.55,Percentage
2002,27.11,Percentage
2003,31.42,Percentage
2004,32.3,Percentage
2005,30.8,Percentage
2006,34.3,Percentage
2007,31.45,Percentage
2008,33.19,Percentage
2009,33.6,Percentage
2010,32.14,Percentage
2011,38.19,Percentage
2012,35.66,Percentage
2013,36.14,Percentage
2014,34.82,Percentage
2015,30.65,Percentage
2016,37.05,Percentage
2017,35.51,Percentage
2018,44.28,Percentage
2019,42.8,Percentage
2020,41.7,Percentage
