Year,Value,Units,GeoCode
1991,27.744,1.000 EUR,
1992,28.092,1.000 EUR,
1993,27.665,1.000 EUR,
1994,28.256,1.000 EUR,
1995,28.636,1.000 EUR,
1996,28.81,1.000 EUR,
1997,29.311,1.000 EUR,
1998,29.925,1.000 EUR,
1999,30.498,1.000 EUR,
2000,31.373,1.000 EUR,
2001,31.877,1.000 EUR,
2002,31.79,1.000 EUR,
2003,31.579,1.000 EUR,
2004,31.987,1.000 EUR,
2005,32.268,1.000 EUR,
2006,33.567,1.000 EUR,
2007,34.643,1.000 EUR,
2008,35.075,1.000 EUR,
2009,33.193,1.000 EUR,
2010,34.666,1.000 EUR,
2011,36.031,1.000 EUR,
2012,36.114,1.000 EUR,
2013,36.173,1.000 EUR,
2014,36.818,1.000 EUR,
2015,37.046,1.000 EUR,
2016,37.567,1.000 EUR,
2017,38.43,1.000 EUR,
2018,38.691,1.000 EUR,
2019,39.012,1.000 EUR,
2020,37.539,1.000 EUR,
2021,38.509,1.000 EUR,
1992,33.554,1.000 EUR,
1993,31.872,1.000 EUR,
1994,32.318,1.000 EUR,
1995,32.757,1.000 EUR,
1996,32.955,1.000 EUR,
1997,33.452,1.000 EUR,
1998,34.207,1.000 EUR,
1999,34.985,1.000 EUR,
2000,36.094,1.000 EUR,
2001,37.097,1.000 EUR,
2002,36.577,1.000 EUR,
2003,36.39,1.000 EUR,
2004,36.447,1.000 EUR,
2005,36.6,1.000 EUR,
2006,38.932,1.000 EUR,
2007,40.377,1.000 EUR,
2008,40.575,1.000 EUR,
2009,36.636,1.000 EUR,
2010,39.525,1.000 EUR,
2011,41.526,1.000 EUR,
2012,41.641,1.000 EUR,
2013,41.71,1.000 EUR,
2014,42.338,1.000 EUR,
2015,42.91,1.000 EUR,
2016,42.896,1.000 EUR,
2017,44.159,1.000 EUR,
2018,44.898,1.000 EUR,
2019,44.65,1.000 EUR,
2020,42.175,1.000 EUR,
2021,43.57,1.000 EUR,
1991,31.338,1.000 EUR,
1992,31.795,1.000 EUR,
1993,30.919,1.000 EUR,
1994,31.245,1.000 EUR,
1995,31.369,1.000 EUR,
1996,31.57,1.000 EUR,
1997,32.147,1.000 EUR,
1998,33.269,1.000 EUR,
1999,34.087,1.000 EUR,
2000,35.464,1.000 EUR,
2001,36.25,1.000 EUR,
2002,36.334,1.000 EUR,
2003,35.688,1.000 EUR,
2004,36.386,1.000 EUR,
2005,36.808,1.000 EUR,
2006,38.194,1.000 EUR,
2007,39.34,1.000 EUR,
2008,39.361,1.000 EUR,
2009,37.736,1.000 EUR,
2010,39.633,1.000 EUR,
2011,41.905,1.000 EUR,
2012,42.1,1.000 EUR,
2013,42.357,1.000 EUR,
2014,43.1,1.000 EUR,
2015,43.445,1.000 EUR,
2016,44.126,1.000 EUR,
2017,45.475,1.000 EUR,
2018,45.417,1.000 EUR,
2019,45.985,1.000 EUR,
2020,43.892,1.000 EUR,
2021,45.126,1.000 EUR,
1991,28.004,1.000 EUR,
1992,28.982,1.000 EUR,
1993,29.759,1.000 EUR,
1994,30.274,1.000 EUR,
1995,30.812,1.000 EUR,
1996,30.599,1.000 EUR,
1997,30.3,1.000 EUR,
1998,30.804,1.000 EUR,
1999,31.053,1.000 EUR,
2000,31.686,1.000 EUR,
2001,31.698,1.000 EUR,
2002,31.077,1.000 EUR,
2003,30.414,1.000 EUR,
2004,30.182,1.000 EUR,
2005,30.79,1.000 EUR,
2006,31.83,1.000 EUR,
2007,32.765,1.000 EUR,
2008,33.955,1.000 EUR,
2009,33.534,1.000 EUR,
2010,34.467,1.000 EUR,
2011,35.491,1.000 EUR,
2012,34.914,1.000 EUR,
2013,34.539,1.000 EUR,
2014,34.988,1.000 EUR,
2015,35.741,1.000 EUR,
2016,37.023,1.000 EUR,
2017,38.097,1.000 EUR,
2018,39.209,1.000 EUR,
2019,40.051,1.000 EUR,
2020,38.446,1.000 EUR,
2021,39.743,1.000 EUR,
1991,12.819,1.000 EUR,
1992,14.076,1.000 EUR,
1993,15.751,1.000 EUR,
1994,17.497,1.000 EUR,
1995,18.886,1.000 EUR,
1996,19.631,1.000 EUR,
1997,19.974,1.000 EUR,
1998,20.105,1.000 EUR,
1999,20.84,1.000 EUR,
2000,21.432,1.000 EUR,
2001,21.538,1.000 EUR,
2002,21.649,1.000 EUR,
2003,21.741,1.000 EUR,
2004,22.175,1.000 EUR,
2005,22.431,1.000 EUR,
2006,23.325,1.000 EUR,
2007,23.799,1.000 EUR,
2008,24.407,1.000 EUR,
2009,23.85,1.000 EUR,
2010,24.659,1.000 EUR,
2011,24.989,1.000 EUR,
2012,25.347,1.000 EUR,
2013,25.485,1.000 EUR,
2014,26.406,1.000 EUR,
2015,26.442,1.000 EUR,
2016,26.793,1.000 EUR,
2017,27.375,1.000 EUR,
2018,27.473,1.000 EUR,
2019,27.886,1.000 EUR,
2020,26.898,1.000 EUR,
2021,27.068,1.000 EUR,
1991,38.67,1.000 EUR,
1992,38.047,1.000 EUR,
1993,36.524,1.000 EUR,
1994,37.235,1.000 EUR,
1995,37.35,1.000 EUR,
1996,37.41,1.000 EUR,
1997,38.586,1.000 EUR,
1998,39.119,1.000 EUR,
1999,39.291,1.000 EUR,
2000,41.345,1.000 EUR,
2001,42.255,1.000 EUR,
2002,42.851,1.000 EUR,
2003,43.167,1.000 EUR,
2004,43.124,1.000 EUR,
2005,43.616,1.000 EUR,
2006,45.582,1.000 EUR,
2007,46.219,1.000 EUR,
2008,46.338,1.000 EUR,
2009,42.022,1.000 EUR,
2010,44.196,1.000 EUR,
2011,45.128,1.000 EUR,
2012,46.384,1.000 EUR,
2013,45.75,1.000 EUR,
2014,46.054,1.000 EUR,
2015,45.739,1.000 EUR,
2016,46.006,1.000 EUR,
2017,46.316,1.000 EUR,
2018,46.089,1.000 EUR,
2019,45.388,1.000 EUR,
2020,43.608,1.000 EUR,
2021,45.152,1.000 EUR,
1991,49.864,1.000 EUR,
1992,49.115,1.000 EUR,
1993,48.739,1.000 EUR,
1994,49.086,1.000 EUR,
1995,49.354,1.000 EUR,
1996,50.454,1.000 EUR,
1997,52.442,1.000 EUR,
1998,53.352,1.000 EUR,
1999,54.321,1.000 EUR,
2000,55.52,1.000 EUR,
2001,58.292,1.000 EUR,
2002,58.448,1.000 EUR,
2003,57.124,1.000 EUR,
2004,57.556,1.000 EUR,
2005,58.414,1.000 EUR,
2006,59.218,1.000 EUR,
2007,60.184,1.000 EUR,
2008,62.367,1.000 EUR,
2009,59.867,1.000 EUR,
2010,60.112,1.000 EUR,
2011,60.08,1.000 EUR,
2012,59.854,1.000 EUR,
2013,61.152,1.000 EUR,
2014,60.434,1.000 EUR,
2015,60.935,1.000 EUR,
2016,61.417,1.000 EUR,
2017,61.783,1.000 EUR,
2018,61.305,1.000 EUR,
2019,62.854,1.000 EUR,
2020,58.479,1.000 EUR,
2021,59.652,1.000 EUR,
1991,36.137,1.000 EUR,
1992,36.103,1.000 EUR,
1993,35.143,1.000 EUR,
1994,35.31,1.000 EUR,
1995,35.528,1.000 EUR,
1996,36.121,1.000 EUR,
1997,36.685,1.000 EUR,
1998,37.404,1.000 EUR,
1999,38.465,1.000 EUR,
2000,39.73,1.000 EUR,
2001,40.619,1.000 EUR,
2002,39.922,1.000 EUR,
2003,40.092,1.000 EUR,
2004,40.119,1.000 EUR,
2005,40.271,1.000 EUR,
2006,41.661,1.000 EUR,
2007,42.795,1.000 EUR,
2008,43.136,1.000 EUR,
2009,40.089,1.000 EUR,
2010,41.327,1.000 EUR,
2011,42.722,1.000 EUR,
2012,42.19,1.000 EUR,
2013,42.22,1.000 EUR,
2014,42.658,1.000 EUR,
2015,42.422,1.000 EUR,
2016,43.154,1.000 EUR,
2017,43.863,1.000 EUR,
2018,43.955,1.000 EUR,
2019,44.359,1.000 EUR,
2020,42.173,1.000 EUR,
2021,43.552,1.000 EUR,
1991,12.444,1.000 EUR,
1992,13.635,1.000 EUR,
1993,15.171,1.000 EUR,
1994,17.006,1.000 EUR,
1995,18.391,1.000 EUR,
1996,18.989,1.000 EUR,
1997,19.369,1.000 EUR,
1998,19.539,1.000 EUR,
1999,20.13,1.000 EUR,
2000,20.314,1.000 EUR,
2001,20.306,1.000 EUR,
2002,20.578,1.000 EUR,
2003,20.711,1.000 EUR,
2004,21.015,1.000 EUR,
2005,21.092,1.000 EUR,
2006,21.715,1.000 EUR,
2007,22.662,1.000 EUR,
2008,23.085,1.000 EUR,
2009,23.028,1.000 EUR,
2010,23.439,1.000 EUR,
2011,24.118,1.000 EUR,
2012,24.117,1.000 EUR,
2013,24.255,1.000 EUR,
2014,25.005,1.000 EUR,
2015,24.954,1.000 EUR,
2016,25.213,1.000 EUR,
2017,26.309,1.000 EUR,
2018,25.85,1.000 EUR,
2019,27.063,1.000 EUR,
2020,26.047,1.000 EUR,
2021,26.457,1.000 EUR,
1991,27.474,1.000 EUR,
1992,27.513,1.000 EUR,
1993,26.766,1.000 EUR,
1994,27.02,1.000 EUR,
1995,26.553,1.000 EUR,
1996,26.394,1.000 EUR,
1997,26.753,1.000 EUR,
1998,27.302,1.000 EUR,
1999,27.642,1.000 EUR,
2000,28.35,1.000 EUR,
2001,28.206,1.000 EUR,
2002,27.69,1.000 EUR,
2003,27.546,1.000 EUR,
2004,27.998,1.000 EUR,
2005,28.562,1.000 EUR,
2006,29.779,1.000 EUR,
2007,30.686,1.000 EUR,
2008,31.316,1.000 EUR,
2009,29.719,1.000 EUR,
2010,31.43,1.000 EUR,
2011,32.944,1.000 EUR,
2012,33.134,1.000 EUR,
2013,32.812,1.000 EUR,
2014,33.667,1.000 EUR,
2015,33.186,1.000 EUR,
2016,34.924,1.000 EUR,
2017,35.145,1.000 EUR,
2018,35.526,1.000 EUR,
2019,36.219,1.000 EUR,
2020,34.498,1.000 EUR,
2021,35.014,1.000 EUR,
1991,29.832,1.000 EUR,
1992,29.89,1.000 EUR,
1993,29.027,1.000 EUR,
1994,29.285,1.000 EUR,
1995,29.56,1.000 EUR,
1996,29.453,1.000 EUR,
1997,29.991,1.000 EUR,
1998,30.602,1.000 EUR,
1999,30.926,1.000 EUR,
2000,31.621,1.000 EUR,
2001,31.981,1.000 EUR,
2002,32.009,1.000 EUR,
2003,31.588,1.000 EUR,
2004,32.034,1.000 EUR,
2005,32.199,1.000 EUR,
2006,33.196,1.000 EUR,
2007,34.462,1.000 EUR,
2008,34.986,1.000 EUR,
2009,33.24,1.000 EUR,
2010,34.159,1.000 EUR,
2011,35.17,1.000 EUR,
2012,35.03,1.000 EUR,
2013,35.066,1.000 EUR,
2014,35.676,1.000 EUR,
2015,35.899,1.000 EUR,
2016,36.083,1.000 EUR,
2017,36.925,1.000 EUR,
2018,37.386,1.000 EUR,
2019,37.32,1.000 EUR,
2020,35.638,1.000 EUR,
2021,36.499,1.000 EUR,
1991,27.874,1.000 EUR,
1992,27.637,1.000 EUR,
1993,26.413,1.000 EUR,
1994,26.588,1.000 EUR,
1995,26.715,1.000 EUR,
1996,26.413,1.000 EUR,
1997,27.04,1.000 EUR,
1998,27.047,1.000 EUR,
1999,27.519,1.000 EUR,
2000,28.068,1.000 EUR,
2001,27.598,1.000 EUR,
2002,27.772,1.000 EUR,
2003,27.634,1.000 EUR,
2004,28.301,1.000 EUR,
2005,28.255,1.000 EUR,
2006,29.31,1.000 EUR,
2007,30.074,1.000 EUR,
2008,30.253,1.000 EUR,
2009,28.852,1.000 EUR,
2010,30.487,1.000 EUR,
2011,31.459,1.000 EUR,
2012,31.874,1.000 EUR,
2013,31.84,1.000 EUR,
2014,32.408,1.000 EUR,
2015,32.966,1.000 EUR,
2016,33.107,1.000 EUR,
2017,33.473,1.000 EUR,
2018,33.506,1.000 EUR,
2019,33.55,1.000 EUR,
2020,32.169,1.000 EUR,
2021,35.223,1.000 EUR,
1991,26.682,1.000 EUR,
1992,26.38,1.000 EUR,
1993,25.099,1.000 EUR,
1994,25.8,1.000 EUR,
1995,26.366,1.000 EUR,
1996,25.698,1.000 EUR,
1997,26.248,1.000 EUR,
1998,27.002,1.000 EUR,
1999,27.776,1.000 EUR,
2000,29.088,1.000 EUR,
2001,29.757,1.000 EUR,
2002,29.369,1.000 EUR,
2003,29.369,1.000 EUR,
2004,30.447,1.000 EUR,
2005,31.712,1.000 EUR,
2006,32.928,1.000 EUR,
2007,33.832,1.000 EUR,
2008,34.136,1.000 EUR,
2009,30.768,1.000 EUR,
2010,32.575,1.000 EUR,
2011,34.26,1.000 EUR,
2012,33.864,1.000 EUR,
2013,33.147,1.000 EUR,
2014,34.295,1.000 EUR,
2015,34.302,1.000 EUR,
2016,33.984,1.000 EUR,
2017,34.661,1.000 EUR,
2018,34.599,1.000 EUR,
2019,34.034,1.000 EUR,
2020,31.964,1.000 EUR,
2021,32.493,1.000 EUR,
1991,12.328,1.000 EUR,
1992,13.685,1.000 EUR,
1993,15.464,1.000 EUR,
1994,17.491,1.000 EUR,
1995,18.991,1.000 EUR,
1996,19.65,1.000 EUR,
1997,19.704,1.000 EUR,
1998,20.076,1.000 EUR,
1999,20.526,1.000 EUR,
2000,20.776,1.000 EUR,
2001,21.29,1.000 EUR,
2002,21.932,1.000 EUR,
2003,22.368,1.000 EUR,
2004,22.947,1.000 EUR,
2005,22.991,1.000 EUR,
2006,24.177,1.000 EUR,
2007,25.043,1.000 EUR,
2008,25.191,1.000 EUR,
2009,24.337,1.000 EUR,
2010,25.301,1.000 EUR,
2011,26.306,1.000 EUR,
2012,26.508,1.000 EUR,
2013,26.591,1.000 EUR,
2014,27.431,1.000 EUR,
2015,27.908,1.000 EUR,
2016,28.319,1.000 EUR,
2017,28.979,1.000 EUR,
2018,29.218,1.000 EUR,
2019,29.719,1.000 EUR,
2020,28.535,1.000 EUR,
2021,29.396,1.000 EUR,
1991,11.993,1.000 EUR,
1992,13.24,1.000 EUR,
1993,15.064,1.000 EUR,
1994,16.735,1.000 EUR,
1995,17.557,1.000 EUR,
1996,18.256,1.000 EUR,
1997,18.845,1.000 EUR,
1998,19.104,1.000 EUR,
1999,19.565,1.000 EUR,
2000,20.016,1.000 EUR,
2001,20.154,1.000 EUR,
2002,20.904,1.000 EUR,
2003,21.099,1.000 EUR,
2004,21.561,1.000 EUR,
2005,21.686,1.000 EUR,
2006,22.743,1.000 EUR,
2007,23.513,1.000 EUR,
2008,23.893,1.000 EUR,
2009,22.869,1.000 EUR,
2010,24.16,1.000 EUR,
2011,24.271,1.000 EUR,
2012,25.108,1.000 EUR,
2013,25.118,1.000 EUR,
2014,25.522,1.000 EUR,
2015,25.617,1.000 EUR,
2016,26.008,1.000 EUR,
2017,26.412,1.000 EUR,
2018,26.521,1.000 EUR,
2019,27.132,1.000 EUR,
2020,26.278,1.000 EUR,
2021,27.02,1.000 EUR,
1991,26.163,1.000 EUR,
1992,26.224,1.000 EUR,
1993,25.564,1.000 EUR,
1994,25.687,1.000 EUR,
1995,25.986,1.000 EUR,
1996,26.129,1.000 EUR,
1997,26.542,1.000 EUR,
1998,26.591,1.000 EUR,
1999,26.692,1.000 EUR,
2000,27.221,1.000 EUR,
2001,27.468,1.000 EUR,
2002,26.821,1.000 EUR,
2003,26.664,1.000 EUR,
2004,27.054,1.000 EUR,
2005,27.086,1.000 EUR,
2006,27.83,1.000 EUR,
2007,28.162,1.000 EUR,
2008,28.881,1.000 EUR,
2009,27.883,1.000 EUR,
2010,28.188,1.000 EUR,
2011,28.994,1.000 EUR,
2012,29.74,1.000 EUR,
2013,29.427,1.000 EUR,
2014,29.807,1.000 EUR,
2015,29.809,1.000 EUR,
2016,30.21,1.000 EUR,
2017,30.922,1.000 EUR,
2018,31.022,1.000 EUR,
2019,31.728,1.000 EUR,
2020,30.71,1.000 EUR,
2021,31.31,1.000 EUR,
1991,10.627,1.000 EUR,
1992,12.605,1.000 EUR,
1993,14.357,1.000 EUR,
1994,16.214,1.000 EUR,
1995,16.933,1.000 EUR,
1996,17.492,1.000 EUR,
1997,18.111,1.000 EUR,
1998,18.642,1.000 EUR,
1999,19.248,1.000 EUR,
2000,19.736,1.000 EUR,
2001,20.056,1.000 EUR,
2002,20.262,1.000 EUR,
2003,20.728,1.000 EUR,
2004,21.24,1.000 EUR,
2005,21.361,1.000 EUR,
2006,22.361,1.000 EUR,
2007,23.122,1.000 EUR,
2008,23.288,1.000 EUR,
2009,22.281,1.000 EUR,
2010,23.596,1.000 EUR,
2011,24.848,1.000 EUR,
2012,24.979,1.000 EUR,
2013,25.416,1.000 EUR,
2014,26.421,1.000 EUR,
2015,26.563,1.000 EUR,
2016,26.873,1.000 EUR,
2017,27.545,1.000 EUR,
2018,27.599,1.000 EUR,
2019,27.753,1.000 EUR,
2020,26.705,1.000 EUR,
2021,27.427,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,59.965,1.000 EUR,
2001,65.051,1.000 EUR,
2002,67.023,1.000 EUR,
2003,69.08,1.000 EUR,
2004,68.321,1.000 EUR,
2005,66.813,1.000 EUR,
2006,71.789,1.000 EUR,
2007,74.75,1.000 EUR,
2008,69.851,1.000 EUR,
2009,65.052,1.000 EUR,
2010,72.287,1.000 EUR,
2011,75.212,1.000 EUR,
2012,76.467,1.000 EUR,
2013,76.629,1.000 EUR,
2014,77.501,1.000 EUR,
2015,82.512,1.000 EUR,
2016,81.635,1.000 EUR,
2017,84.18,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,38.259,1.000 EUR,
2001,41.848,1.000 EUR,
2002,40.004,1.000 EUR,
2003,40.636,1.000 EUR,
2004,39.188,1.000 EUR,
2005,35.087,1.000 EUR,
2006,40.184,1.000 EUR,
2007,48.445,1.000 EUR,
2008,46.787,1.000 EUR,
2009,40.38,1.000 EUR,
2010,50.587,1.000 EUR,
2011,54.337,1.000 EUR,
2012,53.324,1.000 EUR,
2013,55.72,1.000 EUR,
2014,58.68,1.000 EUR,
2015,65.409,1.000 EUR,
2016,65.808,1.000 EUR,
2017,66.701,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,29.224,1.000 EUR,
2001,31.126,1.000 EUR,
2002,29.635,1.000 EUR,
2003,30.25,1.000 EUR,
2004,30.109,1.000 EUR,
2005,30.159,1.000 EUR,
2006,32.098,1.000 EUR,
2007,34.097,1.000 EUR,
2008,34.923,1.000 EUR,
2009,30.889,1.000 EUR,
2010,33.877,1.000 EUR,
2011,35.96,1.000 EUR,
2012,36.774,1.000 EUR,
2013,36.421,1.000 EUR,
2014,37.754,1.000 EUR,
2015,39.607,1.000 EUR,
2016,39.559,1.000 EUR,
2017,41.711,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,24.094,1.000 EUR,
2001,24.223,1.000 EUR,
2002,24.377,1.000 EUR,
2003,24.748,1.000 EUR,
2004,24.522,1.000 EUR,
2005,24.284,1.000 EUR,
2006,25.471,1.000 EUR,
2007,26.94,1.000 EUR,
2008,27.777,1.000 EUR,
2009,25.213,1.000 EUR,
2010,27.067,1.000 EUR,
2011,28.306,1.000 EUR,
2012,28.907,1.000 EUR,
2013,30.419,1.000 EUR,
2014,31.905,1.000 EUR,
2015,34.001,1.000 EUR,
2016,33.706,1.000 EUR,
2017,34.179,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,29.35,1.000 EUR,
2001,30.913,1.000 EUR,
2002,30.918,1.000 EUR,
2003,30.912,1.000 EUR,
2004,30.855,1.000 EUR,
2005,31.551,1.000 EUR,
2006,33.431,1.000 EUR,
2007,35.335,1.000 EUR,
2008,35.919,1.000 EUR,
2009,33.08,1.000 EUR,
2010,35.758,1.000 EUR,
2011,37.222,1.000 EUR,
2012,38.628,1.000 EUR,
2013,39.672,1.000 EUR,
2014,41.815,1.000 EUR,
2015,43.266,1.000 EUR,
2016,44.613,1.000 EUR,
2017,46.178,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,25.799,1.000 EUR,
2001,25.789,1.000 EUR,
2002,25.813,1.000 EUR,
2003,25.426,1.000 EUR,
2004,25.834,1.000 EUR,
2005,25.976,1.000 EUR,
2006,27.826,1.000 EUR,
2007,28.318,1.000 EUR,
2008,28.825,1.000 EUR,
2009,26.746,1.000 EUR,
2010,28.629,1.000 EUR,
2011,30.076,1.000 EUR,
2012,30.149,1.000 EUR,
2013,30.88,1.000 EUR,
2014,31.935,1.000 EUR,
2015,32.736,1.000 EUR,
2016,33.387,1.000 EUR,
2017,34.749,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,45.97,1.000 EUR,
2001,47.498,1.000 EUR,
2002,45.744,1.000 EUR,
2003,40.856,1.000 EUR,
2004,41.333,1.000 EUR,
2005,42.262,1.000 EUR,
2006,44.058,1.000 EUR,
2007,44.471,1.000 EUR,
2008,45.819,1.000 EUR,
2009,44.543,1.000 EUR,
2010,48.014,1.000 EUR,
2011,48.146,1.000 EUR,
2012,48.367,1.000 EUR,
2013,49.602,1.000 EUR,
2014,50.327,1.000 EUR,
2015,52.904,1.000 EUR,
2016,51.662,1.000 EUR,
2017,52.797,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,27.075,1.000 EUR,
2001,27.941,1.000 EUR,
2002,27.545,1.000 EUR,
2003,28.846,1.000 EUR,
2004,29.421,1.000 EUR,
2005,30.67,1.000 EUR,
2006,34.298,1.000 EUR,
2007,36.199,1.000 EUR,
2008,37.303,1.000 EUR,
2009,35.113,1.000 EUR,
2010,37.273,1.000 EUR,
2011,41.036,1.000 EUR,
2012,44.273,1.000 EUR,
2013,46.136,1.000 EUR,
2014,47.255,1.000 EUR,
2015,48.471,1.000 EUR,
2016,47.684,1.000 EUR,
2017,49.837,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,29.305,1.000 EUR,
2001,29.944,1.000 EUR,
2002,29.867,1.000 EUR,
2003,29.843,1.000 EUR,
2004,30.707,1.000 EUR,
2005,31.669,1.000 EUR,
2006,33.766,1.000 EUR,
2007,36.209,1.000 EUR,
2008,36.647,1.000 EUR,
2009,35.046,1.000 EUR,
2010,37.167,1.000 EUR,
2011,40.425,1.000 EUR,
2012,41.983,1.000 EUR,
2013,42.458,1.000 EUR,
2014,44.466,1.000 EUR,
2015,45.633,1.000 EUR,
2016,47.55,1.000 EUR,
2017,49.703,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,24.984,1.000 EUR,
2001,25.007,1.000 EUR,
2002,25.852,1.000 EUR,
2003,25.132,1.000 EUR,
2004,25.984,1.000 EUR,
2005,27.545,1.000 EUR,
2006,28.894,1.000 EUR,
2007,30.904,1.000 EUR,
2008,32.157,1.000 EUR,
2009,31.365,1.000 EUR,
2010,32.932,1.000 EUR,
2011,33.797,1.000 EUR,
2012,35.171,1.000 EUR,
2013,36.177,1.000 EUR,
2014,37.542,1.000 EUR,
2015,38.766,1.000 EUR,
2016,39.769,1.000 EUR,
2017,40.688,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,25.829,1.000 EUR,
2001,25.427,1.000 EUR,
2002,25.597,1.000 EUR,
2003,25.992,1.000 EUR,
2004,26.659,1.000 EUR,
2005,27.781,1.000 EUR,
2006,28.95,1.000 EUR,
2007,29.759,1.000 EUR,
2008,30.985,1.000 EUR,
2009,29.508,1.000 EUR,
2010,32.215,1.000 EUR,
2011,33.466,1.000 EUR,
2012,33.649,1.000 EUR,
2013,33.688,1.000 EUR,
2014,33.957,1.000 EUR,
2015,35.492,1.000 EUR,
2016,35.44,1.000 EUR,
2017,37.378,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
1998,,1.000 EUR,
1999,,1.000 EUR,
2000,27.175,1.000 EUR,
2001,27.562,1.000 EUR,
2002,26.803,1.000 EUR,
2003,26.406,1.000 EUR,
2004,27.325,1.000 EUR,
2005,27.514,1.000 EUR,
2006,28.932,1.000 EUR,
2007,30.298,1.000 EUR,
2008,30.509,1.000 EUR,
2009,31.192,1.000 EUR,
2010,30.879,1.000 EUR,
2011,32.54,1.000 EUR,
2012,32.609,1.000 EUR,
2013,30.621,1.000 EUR,
2014,31.25,1.000 EUR,
2015,33.215,1.000 EUR,
2016,34.343,1.000 EUR,
2017,36.141,1.000 EUR,
2018,,1.000 EUR,
2019,,1.000 EUR,
2020,,1.000 EUR,
2021,,1.000 EUR,
1991,,1.000 EUR,
1992,,1.000 EUR,
1993,,1.000 EUR,
1994,,1.000 EUR,
1995,,1.000 EUR,
1996,,1.000 EUR,
1997,,1.000 EUR,
