Year,Value,Units
2014.0,7.9,Millions
2014.5,11.2,Millions
2015.0,15.1,Millions
2015.5,18.2,Millions
2016.0,19.7,Millions
2016.5,20.4,Millions
2017.0,22.5,Millions
2017.5,23.7,Millions
2018.0,24.2,Millions
2018.5,24.2,Millions
2019.0,26.4,Millions
2019.5,32.1,Millions
2020.0,33.0,Millions
2020.5,35.6,Millions
2021.0,37.6,Millions
2021.5,40.2,Millions
2022.0,42.3,Millions
