Year,Units,Value
2010,millions,100.0
2011,millions,99.801
2012,millions,92.959
2013,millions,98.858
2014,millions,95.477
2015,millions,85.06
2016,millions,76.184
2017,millions,67.727
2018,millions,81.511
2019,millions,30.747
2020,millions,15.03
2021,millions,28.232
2030,millions,
