Year,Units,federal state,GeoCode,county,Value
2010,1.000 eur,,,,27.267
2011,1.000 eur,,,,28.319
2012,1.000 eur,,,,27.665
2013,1.000 eur,,,,28.637
2014,1.000 eur,,,,29.843
2015,1.000 eur,,,,30.482
2016,1.000 eur,,,,31.45
2017,1.000 eur,,,,32.168
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,22.463
2001,1.000 eur,,,,22.087
2002,1.000 eur,,,,23.519
2003,1.000 eur,,,,21.897
2004,1.000 eur,,,,21.726
2005,1.000 eur,,,,22.986
2006,1.000 eur,,,,24.284
2007,1.000 eur,,,,26.448
2008,1.000 eur,,,,28.27
2009,1.000 eur,,,,28.153
2010,1.000 eur,,,,30.668
2011,1.000 eur,,,,31.307
2012,1.000 eur,,,,29.876
2013,1.000 eur,,,,31.083
2014,1.000 eur,,,,32.141
2015,1.000 eur,,,,31.849
2016,1.000 eur,,,,34.182
2017,1.000 eur,,,,34.306
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,19.085
2001,1.000 eur,,,,19.713
2002,1.000 eur,,,,20.188
2003,1.000 eur,,,,19.381
2004,1.000 eur,,,,20.302
2005,1.000 eur,,,,20.214
2006,1.000 eur,,,,21.058
2007,1.000 eur,,,,22.252
2008,1.000 eur,,,,23.218
2009,1.000 eur,,,,22.405
2010,1.000 eur,,,,23.896
2011,1.000 eur,,,,25.575
2012,1.000 eur,,,,26.152
2013,1.000 eur,,,,26.233
2014,1.000 eur,,,,27.189
2015,1.000 eur,,,,27.651
2016,1.000 eur,,,,28.632
2017,1.000 eur,,,,30.082
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,18.26
2001,1.000 eur,,,,18.941
2002,1.000 eur,,,,19.357
2003,1.000 eur,,,,18.942
2004,1.000 eur,,,,19.55
2005,1.000 eur,,,,19.759
2006,1.000 eur,,,,20.751
2007,1.000 eur,,,,21.957
2008,1.000 eur,,,,22.797
2009,1.000 eur,,,,21.897
2010,1.000 eur,,,,23.628
2011,1.000 eur,,,,25.119
2012,1.000 eur,,,,26.217
2013,1.000 eur,,,,27.013
2014,1.000 eur,,,,28.0
2015,1.000 eur,,,,29.583
2016,1.000 eur,,,,30.455
2017,1.000 eur,,,,31.642
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,21.001
2001,1.000 eur,,,,20.64
2002,1.000 eur,,,,21.288
2003,1.000 eur,,,,21.691
2004,1.000 eur,,,,22.43
2005,1.000 eur,,,,22.483
2006,1.000 eur,,,,23.05
2007,1.000 eur,,,,23.495
2008,1.000 eur,,,,24.247
2009,1.000 eur,,,,24.295
2010,1.000 eur,,,,26.138
2011,1.000 eur,,,,28.136
2012,1.000 eur,,,,27.873
2013,1.000 eur,,,,28.339
2014,1.000 eur,,,,29.542
2015,1.000 eur,,,,30.373
2016,1.000 eur,,,,30.467
2017,1.000 eur,,,,31.462
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,15.584
2001,1.000 eur,,,,16.502
2002,1.000 eur,,,,16.935
2003,1.000 eur,,,,16.475
2004,1.000 eur,,,,17.391
2005,1.000 eur,,,,16.988
2006,1.000 eur,,,,18.234
2007,1.000 eur,,,,18.579
2008,1.000 eur,,,,19.786
2009,1.000 eur,,,,18.989
2010,1.000 eur,,,,20.588
2011,1.000 eur,,,,20.98
2012,1.000 eur,,,,22.006
2013,1.000 eur,,,,23.754
2014,1.000 eur,,,,24.303
2015,1.000 eur,,,,25.948
2016,1.000 eur,,,,26.686
2017,1.000 eur,,,,27.432
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,30.318
2001,1.000 eur,,,,39.115
2002,1.000 eur,,,,38.743
2003,1.000 eur,,,,40.424
2004,1.000 eur,,,,42.355
2005,1.000 eur,,,,43.574
2006,1.000 eur,,,,45.17
2007,1.000 eur,,,,49.282
2008,1.000 eur,,,,42.862
2009,1.000 eur,,,,43.777
2010,1.000 eur,,,,52.788
2011,1.000 eur,,,,58.795
2012,1.000 eur,,,,55.872
2013,1.000 eur,,,,57.133
2014,1.000 eur,,,,65.394
2015,1.000 eur,,,,66.591
2016,1.000 eur,,,,66.986
2017,1.000 eur,,,,71.158
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,35.798
2001,1.000 eur,,,,36.643
2002,1.000 eur,,,,38.778
2003,1.000 eur,,,,37.362
2004,1.000 eur,,,,34.781
2005,1.000 eur,,,,36.301
2006,1.000 eur,,,,36.877
2007,1.000 eur,,,,38.782
2008,1.000 eur,,,,41.705
2009,1.000 eur,,,,42.07
2010,1.000 eur,,,,42.122
2011,1.000 eur,,,,44.936
2012,1.000 eur,,,,47.852
2013,1.000 eur,,,,48.719
2014,1.000 eur,,,,50.601
2015,1.000 eur,,,,51.507
2016,1.000 eur,,,,53.379
2017,1.000 eur,,,,56.757
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,58.645
2001,1.000 eur,,,,56.617
2002,1.000 eur,,,,56.62
2003,1.000 eur,,,,59.347
2004,1.000 eur,,,,62.577
2005,1.000 eur,,,,62.985
2006,1.000 eur,,,,65.366
2007,1.000 eur,,,,72.417
2008,1.000 eur,,,,73.331
2009,1.000 eur,,,,67.759
2010,1.000 eur,,,,77.03
2011,1.000 eur,,,,80.414
2012,1.000 eur,,,,79.247
2013,1.000 eur,,,,79.143
2014,1.000 eur,,,,82.922
2015,1.000 eur,,,,83.722
2016,1.000 eur,,,,83.728
2017,1.000 eur,,,,90.735
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,39.779
2001,1.000 eur,,,,42.128
2002,1.000 eur,,,,42.242
2003,1.000 eur,,,,41.782
2004,1.000 eur,,,,41.25
2005,1.000 eur,,,,42.324
2006,1.000 eur,,,,44.29
2007,1.000 eur,,,,46.638
2008,1.000 eur,,,,47.373
2009,1.000 eur,,,,46.943
2010,1.000 eur,,,,47.837
2011,1.000 eur,,,,49.931
2012,1.000 eur,,,,49.622
2013,1.000 eur,,,,50.46
2014,1.000 eur,,,,51.708
2015,1.000 eur,,,,52.874
2016,1.000 eur,,,,54.572
2017,1.000 eur,,,,55.866
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,16.191
2001,1.000 eur,,,,16.822
2002,1.000 eur,,,,17.628
2003,1.000 eur,,,,16.885
2004,1.000 eur,,,,17.198
2005,1.000 eur,,,,17.047
2006,1.000 eur,,,,17.869
2007,1.000 eur,,,,19.514
2008,1.000 eur,,,,19.902
2009,1.000 eur,,,,18.957
2010,1.000 eur,,,,19.991
2011,1.000 eur,,,,22.098
2012,1.000 eur,,,,22.582
2013,1.000 eur,,,,23.512
2014,1.000 eur,,,,25.286
2015,1.000 eur,,,,24.493
2016,1.000 eur,,,,26.09
2017,1.000 eur,,,,27.184
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,20.097
2001,1.000 eur,,,,20.503
2002,1.000 eur,,,,21.788
2003,1.000 eur,,,,21.574
2004,1.000 eur,,,,21.777
2005,1.000 eur,,,,22.208
2006,1.000 eur,,,,24.085
2007,1.000 eur,,,,25.739
2008,1.000 eur,,,,26.231
2009,1.000 eur,,,,26.874
2010,1.000 eur,,,,27.226
2011,1.000 eur,,,,29.858
2012,1.000 eur,,,,29.667
2013,1.000 eur,,,,29.462
2014,1.000 eur,,,,32.196
2015,1.000 eur,,,,33.454
2016,1.000 eur,,,,34.624
2017,1.000 eur,,,,36.244
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,20.852
2001,1.000 eur,,,,20.467
2002,1.000 eur,,,,21.593
2003,1.000 eur,,,,20.717
2004,1.000 eur,,,,21.812
2005,1.000 eur,,,,23.057
2006,1.000 eur,,,,23.631
2007,1.000 eur,,,,24.313
2008,1.000 eur,,,,26.234
2009,1.000 eur,,,,27.449
2010,1.000 eur,,,,29.629
2011,1.000 eur,,,,31.02
2012,1.000 eur,,,,30.828
2013,1.000 eur,,,,32.878
2014,1.000 eur,,,,34.951
2015,1.000 eur,,,,36.294
2016,1.000 eur,,,,37.333
2017,1.000 eur,,,,38.867
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,17.409
2001,1.000 eur,,,,18.055
2002,1.000 eur,,,,18.474
2003,1.000 eur,,,,18.037
2004,1.000 eur,,,,17.938
2005,1.000 eur,,,,18.672
2006,1.000 eur,,,,18.28
2007,1.000 eur,,,,19.92
2008,1.000 eur,,,,20.735
2009,1.000 eur,,,,20.421
2010,1.000 eur,,,,21.571
2011,1.000 eur,,,,23.16
2012,1.000 eur,,,,24.451
2013,1.000 eur,,,,25.812
2014,1.000 eur,,,,27.918
2015,1.000 eur,,,,29.279
2016,1.000 eur,,,,29.721
2017,1.000 eur,,,,31.094
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,14.8
2001,1.000 eur,,,,14.931
2002,1.000 eur,,,,15.529
2003,1.000 eur,,,,16.107
2004,1.000 eur,,,,16.456
2005,1.000 eur,,,,17.009
2006,1.000 eur,,,,17.631
2007,1.000 eur,,,,18.417
2008,1.000 eur,,,,19.32
2009,1.000 eur,,,,17.301
2010,1.000 eur,,,,18.854
2011,1.000 eur,,,,20.366
2012,1.000 eur,,,,21.094
2013,1.000 eur,,,,22.021
2014,1.000 eur,,,,23.009
2015,1.000 eur,,,,23.568
2016,1.000 eur,,,,24.553
2017,1.000 eur,,,,24.95
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,21.788
2001,1.000 eur,,,,22.744
2002,1.000 eur,,,,23.477
2003,1.000 eur,,,,22.434
2004,1.000 eur,,,,22.852
2005,1.000 eur,,,,24.4
2006,1.000 eur,,,,24.701
2007,1.000 eur,,,,25.469
2008,1.000 eur,,,,25.841
2009,1.000 eur,,,,24.849
2010,1.000 eur,,,,26.439
2011,1.000 eur,,,,28.032
2012,1.000 eur,,,,30.336
2013,1.000 eur,,,,32.152
2014,1.000 eur,,,,33.118
2015,1.000 eur,,,,33.768
2016,1.000 eur,,,,35.126
2017,1.000 eur,,,,36.778
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,19.215
2001,1.000 eur,,,,19.52
2002,1.000 eur,,,,20.295
2003,1.000 eur,,,,20.224
2004,1.000 eur,,,,20.587
2005,1.000 eur,,,,20.724
2006,1.000 eur,,,,21.449
2007,1.000 eur,,,,22.276
2008,1.000 eur,,,,23.692
2009,1.000 eur,,,,23.931
2010,1.000 eur,,,,24.958
2011,1.000 eur,,,,26.374
2012,1.000 eur,,,,28.874
2013,1.000 eur,,,,29.109
2014,1.000 eur,,,,29.448
2015,1.000 eur,,,,31.878
2016,1.000 eur,,,,33.867
2017,1.000 eur,,,,35.139
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,41.42
2001,1.000 eur,,,,45.978
2002,1.000 eur,,,,46.008
2003,1.000 eur,,,,45.964
2004,1.000 eur,,,,44.531
2005,1.000 eur,,,,46.024
2006,1.000 eur,,,,48.629
2007,1.000 eur,,,,50.206
2008,1.000 eur,,,,51.294
2009,1.000 eur,,,,48.392
2010,1.000 eur,,,,52.913
2011,1.000 eur,,,,54.597
2012,1.000 eur,,,,53.903
2013,1.000 eur,,,,55.967
2014,1.000 eur,,,,55.892
2015,1.000 eur,,,,57.978
2016,1.000 eur,,,,60.26
2017,1.000 eur,,,,63.062
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,40.918
2001,1.000 eur,,,,43.059
2002,1.000 eur,,,,43.07
2003,1.000 eur,,,,40.308
2004,1.000 eur,,,,41.23
2005,1.000 eur,,,,41.881
2006,1.000 eur,,,,43.291
2007,1.000 eur,,,,44.977
2008,1.000 eur,,,,46.047
2009,1.000 eur,,,,46.601
2010,1.000 eur,,,,48.168
2011,1.000 eur,,,,50.774
2012,1.000 eur,,,,53.168
2013,1.000 eur,,,,55.265
2014,1.000 eur,,,,57.271
2015,1.000 eur,,,,59.931
2016,1.000 eur,,,,62.7
2017,1.000 eur,,,,65.68
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,42.63
2001,1.000 eur,,,,37.731
2002,1.000 eur,,,,38.578
2003,1.000 eur,,,,38.607
2004,1.000 eur,,,,48.75
2005,1.000 eur,,,,47.354
2006,1.000 eur,,,,56.869
2007,1.000 eur,,,,64.121
2008,1.000 eur,,,,62.579
2009,1.000 eur,,,,66.693
2010,1.000 eur,,,,63.971
2011,1.000 eur,,,,68.76
2012,1.000 eur,,,,74.878
2013,1.000 eur,,,,74.898
2014,1.000 eur,,,,76.442
2015,1.000 eur,,,,82.235
2016,1.000 eur,,,,88.538
2017,1.000 eur,,,,91.506
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,31.007
2001,1.000 eur,,,,33.353
2002,1.000 eur,,,,33.36
2003,1.000 eur,,,,32.257
2004,1.000 eur,,,,32.985
2005,1.000 eur,,,,32.509
2006,1.000 eur,,,,33.236
2007,1.000 eur,,,,34.952
2008,1.000 eur,,,,35.577
2009,1.000 eur,,,,35.069
2010,1.000 eur,,,,37.774
2011,1.000 eur,,,,40.008
2012,1.000 eur,,,,40.944
2013,1.000 eur,,,,39.911
2014,1.000 eur,,,,40.149
2015,1.000 eur,,,,41.189
2016,1.000 eur,,,,41.56
2017,1.000 eur,,,,41.801
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,14.358
2001,1.000 eur,,,,15.803
2002,1.000 eur,,,,16.184
2003,1.000 eur,,,,15.877
2004,1.000 eur,,,,16.822
2005,1.000 eur,,,,16.921
2006,1.000 eur,,,,17.863
2007,1.000 eur,,,,18.095
2008,1.000 eur,,,,17.956
2009,1.000 eur,,,,18.165
2010,1.000 eur,,,,19.802
2011,1.000 eur,,,,21.426
2012,1.000 eur,,,,22.053
2013,1.000 eur,,,,22.549
2014,1.000 eur,,,,23.513
2015,1.000 eur,,,,24.71
2016,1.000 eur,,,,25.165
2017,1.000 eur,,,,25.628
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,16.217
2001,1.000 eur,,,,15.043
2002,1.000 eur,,,,14.619
2003,1.000 eur,,,,15.024
2004,1.000 eur,,,,14.698
2005,1.000 eur,,,,14.694
2006,1.000 eur,,,,15.595
2007,1.000 eur,,,,16.182
2008,1.000 eur,,,,16.663
2009,1.000 eur,,,,16.376
2010,1.000 eur,,,,16.744
2011,1.000 eur,,,,18.266
2012,1.000 eur,,,,18.169
2013,1.000 eur,,,,18.47
2014,1.000 eur,,,,19.382
2015,1.000 eur,,,,19.96
2016,1.000 eur,,,,20.673
2017,1.000 eur,,,,21.47
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,20.708
2001,1.000 eur,,,,21.735
2002,1.000 eur,,,,19.483
2003,1.000 eur,,,,18.876
2004,1.000 eur,,,,18.579
2005,1.000 eur,,,,18.317
2006,1.000 eur,,,,19.041
2007,1.000 eur,,,,20.353
2008,1.000 eur,,,,20.557
2009,1.000 eur,,,,20.582
2010,1.000 eur,,,,21.917
2011,1.000 eur,,,,22.463
2012,1.000 eur,,,,23.614
2013,1.000 eur,,,,23.728
2014,1.000 eur,,,,25.018
2015,1.000 eur,,,,26.114
2016,1.000 eur,,,,26.357
2017,1.000 eur,,,,27.145
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,15.375
2001,1.000 eur,,,,15.464
2002,1.000 eur,,,,15.847
2003,1.000 eur,,,,16.075
2004,1.000 eur,,,,16.294
2005,1.000 eur,,,,16.379
2006,1.000 eur,,,,17.333
2007,1.000 eur,,,,17.649
2008,1.000 eur,,,,18.27
2009,1.000 eur,,,,18.137
2010,1.000 eur,,,,18.736
2011,1.000 eur,,,,20.409
2012,1.000 eur,,,,21.032
2013,1.000 eur,,,,21.705
2014,1.000 eur,,,,23.273
2015,1.000 eur,,,,26.046
2016,1.000 eur,,,,26.379
2017,1.000 eur,,,,30.134
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,17.747
2001,1.000 eur,,,,18.529
2002,1.000 eur,,,,18.668
2003,1.000 eur,,,,18.636
2004,1.000 eur,,,,19.071
2005,1.000 eur,,,,19.393
2006,1.000 eur,,,,20.284
2007,1.000 eur,,,,20.723
2008,1.000 eur,,,,22.292
2009,1.000 eur,,,,23.326
2010,1.000 eur,,,,25.286
2011,1.000 eur,,,,27.0
2012,1.000 eur,,,,27.726
2013,1.000 eur,,,,28.803
2014,1.000 eur,,,,29.698
2015,1.000 eur,,,,31.826
2016,1.000 eur,,,,33.779
2017,1.000 eur,,,,35.01
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,21.862
2001,1.000 eur,,,,22.49
2002,1.000 eur,,,,23.988
2003,1.000 eur,,,,22.064
2004,1.000 eur,,,,23.927
2005,1.000 eur,,,,23.85
2006,1.000 eur,,,,25.884
2007,1.000 eur,,,,26.798
2008,1.000 eur,,,,25.641
2009,1.000 eur,,,,24.831
2010,1.000 eur,,,,26.148
2011,1.000 eur,,,,27.74
2012,1.000 eur,,,,27.287
2013,1.000 eur,,,,27.416
2014,1.000 eur,,,,29.411
2015,1.000 eur,,,,29.996
2016,1.000 eur,,,,31.433
2017,1.000 eur,,,,32.028
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,19.999
2001,1.000 eur,,,,20.972
2002,1.000 eur,,,,21.298
2003,1.000 eur,,,,21.271
2004,1.000 eur,,,,21.2
2005,1.000 eur,,,,21.805
2006,1.000 eur,,,,22.306
2007,1.000 eur,,,,23.752
2008,1.000 eur,,,,24.779
2009,1.000 eur,,,,26.195
2010,1.000 eur,,,,26.705
2011,1.000 eur,,,,27.934
2012,1.000 eur,,,,29.925
2013,1.000 eur,,,,30.151
2014,1.000 eur,,,,30.989
2015,1.000 eur,,,,32.085
2016,1.000 eur,,,,33.598
2017,1.000 eur,,,,34.617
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,22.443
2001,1.000 eur,,,,23.826
2002,1.000 eur,,,,24.734
2003,1.000 eur,,,,25.71
2004,1.000 eur,,,,27.081
2005,1.000 eur,,,,27.39
2006,1.000 eur,,,,29.381
2007,1.000 eur,,,,28.501
2008,1.000 eur,,,,28.948
2009,1.000 eur,,,,28.354
2010,1.000 eur,,,,30.684
2011,1.000 eur,,,,32.881
2012,1.000 eur,,,,31.177
2013,1.000 eur,,,,31.338
2014,1.000 eur,,,,32.094
2015,1.000 eur,,,,33.765
2016,1.000 eur,,,,33.968
2017,1.000 eur,,,,35.16
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
