Year,Value,Units
2000,79.03,percentage
2001,77.08,percentage
2002,76.4,percentage
2003,72.33,percentage
2004,74.71,percentage
2005,76.89,percentage
2006,75.44,percentage
2007,74.68,percentage
2008,71.74,percentage
2009,72.42,percentage
2010,73.16,percentage
2011,68.34,percentage
2012,69.45,percentage
2013,70.28,percentage
2014,68.99,percentage
2015,67.97,percentage
2030,,percentage
