Year,Value,Units,GeoCode
2005,140519.0,number,
2006,141289.0,number,
2007,136087.0,number,
2008,140832.0,number,
2009,147152.0,number,
2010,153690.0,number,
2011,158557.0,number,
2012,170618.0,number,
2013,185787.0,number,
2014,200349.0,number,
2015,215258.0,number,
2016,230688.0,number,
2017,247435.0,number,
2018,267250.0,number,
2019,285449.0,number,
2020,298149.0,number,
2006,20133.0,number,
2007,19383.0,number,
2008,19840.0,number,
2009,20914.0,number,
2010,21886.0,number,
2011,21857.0,number,
2012,24175.0,number,
2013,26218.0,number,
2014,28199.0,number,
2015,30019.0,number,
2016,32126.0,number,
2017,32564.0,number,
2018,32221.0,number,
2019,31590.0,number,
2020,30143.0,number,
2005,,number,
2006,13978.0,number,
2007,13633.0,number,
2008,14130.0,number,
2009,14747.0,number,
2010,15618.0,number,
2011,16297.0,number,
2012,17742.0,number,
2013,20459.0,number,
2014,22184.0,number,
2015,24310.0,number,
2016,26347.0,number,
2017,30357.0,number,
2018,34357.0,number,
2019,37939.0,number,
2020,42253.0,number,
2005,,number,
2006,9715.0,number,
2007,10005.0,number,
2008,10531.0,number,
2009,10914.0,number,
2010,11647.0,number,
2011,11931.0,number,
2012,12536.0,number,
2013,13498.0,number,
2014,14509.0,number,
2015,15767.0,number,
2016,17179.0,number,
2017,19899.0,number,
2018,22086.0,number,
2019,24341.0,number,
2020,25828.0,number,
2005,,number,
2006,2568.0,number,
2007,2630.0,number,
2008,2675.0,number,
2009,2808.0,number,
2010,2862.0,number,
2011,3045.0,number,
2012,3374.0,number,
2013,3522.0,number,
2014,3754.0,number,
2015,4022.0,number,
2016,4418.0,number,
2017,4947.0,number,
2018,5378.0,number,
2019,5905.0,number,
2020,6244.0,number,
2005,,number,
2006,3789.0,number,
2007,3644.0,number,
2008,3552.0,number,
2009,3467.0,number,
2010,3350.0,number,
2011,3378.0,number,
2012,3430.0,number,
2013,3583.0,number,
2014,3741.0,number,
2015,3855.0,number,
2016,4047.0,number,
2017,4533.0,number,
2018,4716.0,number,
