Year,Value,Units
1/2014,7.9,millions
2/2014,11.2,millions
1/2015,15.1,millions
2/2015,18.2,millions
1/2016,19.7,millions
2/2016,20.4,millions
1/2017,22.5,millions
2/2017,23.7,millions
1/2018,24.2,millions
2/2018,24.2,millions
1/2019,26.4,millions
2/2019,32.1,millions
1/2020,33.0,millions
2/2020,35.6,millions
1/2021,37.6,millions
2/2021,40.2,millions
1/2022,42.3,millions
