Year,Value,Units,GeoCode
1991,2.4,percentage,
1992,2.28,percentage,
1993,2.21,percentage,
1994,2.13,percentage,
1995,2.14,percentage,
1996,2.14,percentage,
1997,2.19,percentage,
1998,2.22,percentage,
1999,2.35,percentage,
2000,2.41,percentage,
2001,2.4,percentage,
2002,2.44,percentage,
2003,2.47,percentage,
2004,2.44,percentage,
2005,2.44,percentage,
2006,2.47,percentage,
2007,2.46,percentage,
2008,2.62,percentage,
2009,2.74,percentage,
2010,2.73,percentage,
2011,2.81,percentage,
2012,2.88,percentage,
2013,2.84,percentage,
2014,2.88,percentage,
2015,2.93,percentage,
2016,2.94,percentage,
2017,3.05,percentage,
2018,3.11,percentage,
2019,3.17,percentage,
2020,3.14,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,3.76,percentage,
2001,3.71,percentage,
2002,3.75,percentage,
2003,3.75,percentage,
2004,3.74,percentage,
2005,4.08,percentage,
2006,4.02,percentage,
2007,4.16,percentage,
2008,4.42,percentage,
2009,4.63,percentage,
2010,4.45,percentage,
2011,4.8,percentage,
2012,4.9,percentage,
2013,4.75,percentage,
2014,4.85,percentage,
2015,4.9,percentage,
2016,4.93,percentage,
2017,5.64,percentage,
2018,5.68,percentage,
2019,5.79,percentage,
2020,5.69,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,2.83,percentage,
2001,2.92,percentage,
2002,2.9,percentage,
2003,3.0,percentage,
2004,2.93,percentage,
2005,2.9,percentage,
2006,2.97,percentage,
2007,2.82,percentage,
2008,3.02,percentage,
2009,3.05,percentage,
2010,3.01,percentage,
2011,2.98,percentage,
2012,3.08,percentage,
2013,3.11,percentage,
2014,3.13,percentage,
2015,3.13,percentage,
2016,3.13,percentage,
2017,3.11,percentage,
2018,3.19,percentage,
2019,3.41,percentage,
2020,3.36,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,3.4,percentage,
2001,3.79,percentage,
2002,3.89,percentage,
2003,3.68,percentage,
2004,3.68,percentage,
2005,3.49,percentage,
2006,3.54,percentage,
2007,3.03,percentage,
2008,3.17,percentage,
2009,3.38,percentage,
2010,3.44,percentage,
2011,3.34,percentage,
2012,3.44,percentage,
2013,3.56,percentage,
2014,3.61,percentage,
2015,3.53,percentage,
2016,3.42,percentage,
2017,3.42,percentage,
2018,3.51,percentage,
2019,3.34,percentage,
2020,3.32,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,1.44,percentage,
2001,1.44,percentage,
2002,1.36,percentage,
2003,1.18,percentage,
2004,1.24,percentage,
2005,1.18,percentage,
2006,1.23,percentage,
2007,1.23,percentage,
2008,1.32,percentage,
2009,1.4,percentage,
2010,1.43,percentage,
2011,1.66,percentage,
2012,1.65,percentage,
2013,1.55,percentage,
2014,1.58,percentage,
2015,1.67,percentage,
2016,1.73,percentage,
2017,1.71,percentage,
2018,1.7,percentage,
2019,1.82,percentage,
2020,1.83,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,2.12,percentage,
2001,2.12,percentage,
2002,2.26,percentage,
2003,2.63,percentage,
2004,2.64,percentage,
2005,2.17,percentage,
2006,2.2,percentage,
2007,2.17,percentage,
2008,2.41,percentage,
2009,2.65,percentage,
2010,2.67,percentage,
2011,2.76,percentage,
2012,2.65,percentage,
2013,2.75,percentage,
2014,2.86,percentage,
2015,2.86,percentage,
2016,2.9,percentage,
2017,2.82,percentage,
2018,2.88,percentage,
2019,3.01,percentage,
2020,3.7,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,1.68,percentage,
2001,1.38,percentage,
2002,1.35,percentage,
2003,1.72,percentage,
2004,1.62,percentage,
2005,1.78,percentage,
2006,1.85,percentage,
2007,1.82,percentage,
2008,1.93,percentage,
2009,2.12,percentage,
2010,2.11,percentage,
2011,2.22,percentage,
2012,2.27,percentage,
2013,2.28,percentage,
2014,2.37,percentage,
2015,2.24,percentage,
2016,2.27,percentage,
2017,2.17,percentage,
2018,2.22,percentage,
2019,2.18,percentage,
2020,2.25,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,2.46,percentage,
2001,2.31,percentage,
2002,2.36,percentage,
2003,2.47,percentage,
2004,2.45,percentage,
2005,2.47,percentage,
2006,2.56,percentage,
2007,2.51,percentage,
2008,2.71,percentage,
2009,2.97,percentage,
2010,2.99,percentage,
2011,2.88,percentage,
2012,3.02,percentage,
2013,2.82,percentage,
2014,2.88,percentage,
2015,2.84,percentage,
2016,2.85,percentage,
2017,2.94,percentage,
2018,3.02,percentage,
2019,3.11,percentage,
2020,3.06,percentage,
1991,,percentage,
1992,,percentage,
1993,,percentage,
1994,,percentage,
1995,,percentage,
1996,,percentage,
1997,,percentage,
1998,,percentage,
1999,,percentage,
2000,1.05,percentage,
2001,1.18,percentage,
