Year,Value,Units,GeoCode
2006.0,23.0,percentage,
2007.0,23.0,percentage,
2008.0,23.0,percentage,
2009.0,23.0,percentage,
2010.0,22.0,percentage,
2011.0,22.0,percentage,
2012.0,23.0,percentage,
2013.0,22.0,percentage,
2014.0,22.0,percentage,
2015.0,22.0,percentage,
2016.0,21.0,percentage,
2017.0,20.0,percentage,
2018.0,20.0,percentage,
2019.0,19.0,percentage,
2020.0,18.0,percentage,
2021.0,18.0,percentage,
2006.0,23.0,percentage,
2007.0,23.0,percentage,
2008.0,23.0,percentage,
2009.0,23.0,percentage,
2010.0,22.0,percentage,
2011.0,22.0,percentage,
2012.0,23.0,percentage,
2013.0,22.0,percentage,
2014.0,22.0,percentage,
2015.0,22.0,percentage,
2016.0,21.0,percentage,
2017.0,20.0,percentage,
2018.0,20.0,percentage,
2019.0,19.0,percentage,
2020.0,18.0,percentage,
2020.0,,percentage,
